time;queue_size;split_tree;new_tree;new_tree_length;new_tree_objectivebest_tree;best_tree_length;prediction;objective;lower_bound;accuracy;num_captured;num_captured_incorrect
0.019025325775146484;1;;((-1,), (1,));2;0.47707253510930936;((-1,), (1,));2;[0, 1];0.47707253510930936;[0.06415810047777618, 0.43291443463153323];0.5429274648906907;[6258, 649];[2852, 305]
0.03749728202819824;2;;((-2,), (2,));2;0.4777964383958303;((-1,), (1,));2;[0, 1];0.47707253510930936;[0.06415810047777618, 0.43291443463153323];0.5429274648906907;[6258, 649];[2852, 305]
0.05605173110961914;3;;((-3,), (3,));2;0.3810829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.0692596435546875;3;((-3,), (3,));((3,), (-3, -1), (-3, 1));3;0.39108295931663534;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.08233523368835449;4;((-3,), (3,));((3,), (-3, -2), (-3, 2));3;0.39108295931663534;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.08852863311767578;5;((-3,), (3,));((-3,), (3, -1), (3, 1));3;0.3910829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.094696044921875;6;((-3,), (3,));((-3,), (3, -2), (3, 2));3;0.3910829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.10099959373474121;6;((3,), (-3, -1), (-3, 1));((-3, -1), (-3, 1), (3, -1), (3, 1));4;0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.10736894607543945;7;((3,), (-3, -1), (-3, 1));((-3, -1), (-3, 1), (3, -2), (3, 2));4;0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.11877155303955078;8;((3,), (-3, -1), (-3, 1));((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));4;0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.12071824073791504;9;((3,), (-3, -1), (-3, 1));((3,), (-3, -1), (-3, 1, -2), (-3, 1, 2));4;0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.1270742416381836;9;((3,), (-3, -2), (-3, 2));((-3, -2), (-3, 2), (3, -1), (3, 1));4;0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.13324499130249023;10;((3,), (-3, -2), (-3, 2));((-3, -2), (-3, 2), (3, -2), (3, 2));4;0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.14425444602966309;11;((3,), (-3, -2), (-3, 2));((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));4;0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.14661026000976562;12;((3,), (-3, -2), (-3, 2));((3,), (-3, -2), (-3, 2, -1), (-3, 2, 1));4;0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.1579601764678955;12;((-3, -1), (-3, 1), (3, -1), (3, 1));((-3, 1), (3, -1), (3, 1), (-3, -1, -2), (-3, -1, 2));5;0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.15994524955749512;13;((-3, -1), (-3, 1), (3, -1), (3, 1));((-3, -1), (3, -1), (3, 1), (-3, 1, -2), (-3, 1, 2));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.1714649200439453;13;((-3, -1), (-3, 1), (3, -2), (3, 2));((-3, 1), (3, -2), (3, 2), (-3, -1, -2), (-3, -1, 2));5;0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.1734907627105713;14;((-3, -1), (-3, 1), (3, -2), (3, 2));((-3, -1), (3, -2), (3, 2), (-3, 1, -2), (-3, 1, 2));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.18018078804016113;14;((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));((-3, 1), (-3, -1, -2), (-3, -1, 2), (3, -1), (3, 1));5;0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.18657732009887695;15;((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));((-3, 1), (-3, -1, -2), (-3, -1, 2), (3, -2), (3, 2));5;0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.18862175941467285;16;((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));((3,), (-3, -1, -2), (-3, -1, 2), (-3, 1, -2), (-3, 1, 2));5;0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.19501996040344238;16;((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));((-3, 2), (-3, -2, -1), (-3, -2, 1), (3, -1), (3, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.20249080657958984;17;((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));((-3, 2), (-3, -2, -1), (-3, -2, 1), (3, -2), (3, 2));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2048335075378418;18;((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));((3,), (-3, -2, -1), (-3, -2, 1), (-3, 2, -1), (-3, 2, 1));5;0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.21596455574035645;16;((-3, -2), (-3, 2), (3, -2), (3, 2));((-3, 2), (3, -2), (3, 2), (-3, -2, -1), (-3, -2, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2186121940612793;17;((-3, -2), (-3, 2), (3, -2), (3, 2));((-3, -2), (3, -2), (3, 2), (-3, 2, -1), (-3, 2, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2298586368560791;17;((-3, -2), (-3, 2), (3, -1), (3, 1));((-3, 2), (3, -1), (3, 1), (-3, -2, -1), (-3, -2, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.23210358619689941;18;((-3, -2), (-3, 2), (3, -1), (3, 1));((-3, -2), (3, -1), (3, 1), (-3, 2, -1), (-3, 2, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.23414111137390137;17;((-3, 1), (-3, -1, -2), (-3, -1, 2), (3, -2), (3, 2));((-3, -1, -2), (-3, -1, 2), (3, -2), (3, 2), (-3, 1, -2), (-3, 1, 2));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2362232208251953;17;((-3, 1), (-3, -1, -2), (-3, -1, 2), (3, -1), (3, 1));((-3, -1, -2), (-3, -1, 2), (3, -1), (3, 1), (-3, 1, -2), (-3, 1, 2));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.23851799964904785;14;((-3, 2), (-3, -2, -1), (-3, -2, 1), (3, -2), (3, 2));((-3, -2, -1), (-3, -2, 1), (3, -2), (3, 2), (-3, 2, -1), (-3, 2, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.24078845977783203;13;((-3, 2), (-3, -2, -1), (-3, -2, 1), (3, -1), (3, 1));((-3, -2, -1), (-3, -2, 1), (3, -1), (3, 1), (-3, 2, -1), (-3, 2, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2566201686859131;2;((-2,), (2,));((2,), (-2, -1), (-2, 1));3;0.48214999276096715;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.27280569076538086;3;((-2,), (2,));((2,), (-2, -3), (-2, 3));3;0.4070088316200956;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.27582335472106934;4;((-2,), (2,));((-2,), (2, -1), (2, 1));3;0.4877964383958303;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.27889227867126465;5;((-2,), (2,));((-2,), (2, -3), (2, 3));3;0.47187056609237005;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2818441390991211;5;((2,), (-2, -3), (-2, 3));((-2, -3), (-2, 3), (2, -1), (2, 1));4;0.4170088316200956;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.28483152389526367;6;((2,), (-2, -3), (-2, 3));((-2, -3), (-2, 3), (2, -3), (2, 3));4;0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.287869930267334;6;((-2, -3), (-2, 3), (2, -1), (2, 1));((-2, -3), (-2, 3), (2, 1), (2, -1, -3), (2, -1, 3));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2990107536315918;6;((-2, -3), (-2, 3), (2, -3), (2, 3));((-2, 3), (2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.30437779426574707;7;((-2, -3), (-2, 3), (2, -3), (2, 3));((-2, -3), (2, -3), (2, 3), (-2, 3, -1), (-2, 3, 1));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3100771903991699;7;((-2, 3), (2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1));((2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.31223344802856445;8;((-2, 3), (2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1));((-2, 3), (2, 3), (-2, -3, -1), (-2, -3, 1), (2, -3, -1), (2, -3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.31355953216552734;9;((-2, 3), (2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1));((-2, 3), (2, -3), (-2, -3, -1), (-2, -3, 1), (2, 3, -1), (2, 3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.32445764541625977;9;((-2, -3), (2, -3), (2, 3), (-2, 3, -1), (-2, 3, 1));((2, -3), (2, 3), (-2, 3, -1), (-2, 3, 1), (-2, -3, -1), (-2, -3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3266310691833496;10;((-2, -3), (2, -3), (2, 3), (-2, 3, -1), (-2, 3, 1));((-2, -3), (2, 3), (-2, 3, -1), (-2, 3, 1), (2, -3, -1), (2, -3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.32799577713012695;11;((-2, -3), (2, -3), (2, 3), (-2, 3, -1), (-2, 3, 1));((-2, -3), (2, -3), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.33024168014526367;11;((2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1));((2, 3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1), (2, -3, -1), (2, -3, 1));7;0.4310829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3315465450286865;12;((2, -3), (2, 3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1));((2, -3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1));7;0.4310829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.33692121505737305;12;((-2, 3), (2, -3), (-2, -3, -1), (-2, -3, 1), (2, 3, -1), (2, 3, 1));((2, -3), (-2, -3, -1), (-2, -3, 1), (2, 3, -1), (2, 3, 1), (-2, 3, -1), (-2, 3, 1));7;0.4310829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3391447067260742;13;((-2, 3), (2, -3), (-2, -3, -1), (-2, -3, 1), (2, 3, -1), (2, 3, 1));((-2, 3), (-2, -3, -1), (-2, -3, 1), (2, 3, -1), (2, 3, 1), (2, -3, -1), (2, -3, 1));7;0.4310829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3509824275970459;11;((-2, -3), (2, -3), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1));((2, -3), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1), (-2, -3, -1), (-2, -3, 1));7;0.4310829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.35361289978027344;12;((-2, -3), (2, -3), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1));((-2, -3), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1), (2, -3, -1), (2, -3, 1));7;0.4310829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3558387756347656;11;((2, -3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1));((-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1), (2, 3, -1), (2, 3, 1), (2, -3, -1), (2, -3, 1));8;0.4410829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3670992851257324;6;((-2, -3), (-2, 3), (2, 1), (2, -1, -3), (2, -1, 3));((-2, 3), (2, 1), (2, -1, -3), (2, -1, 3), (-2, -3, -1), (-2, -3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.37250781059265137;7;((-2, -3), (-2, 3), (2, 1), (2, -1, -3), (2, -1, 3));((-2, -3), (2, 1), (2, -1, -3), (2, -1, 3), (-2, 3, -1), (-2, 3, 1));6;0.4210829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3780810832977295;7;((-2, 3), (2, 1), (2, -1, -3), (2, -1, 3), (-2, -3, -1), (-2, -3, 1));((2, 1), (2, -1, -3), (2, -1, 3), (-2, -3, -1), (-2, -3, 1), (-2, 3, -1), (-2, 3, 1));7;0.4310829593166354;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.3893105983734131;7;((-2, -3), (2, 1), (2, -1, -3), (2, -1, 3), (-2, 3, -1), (-2, 3, 1));((2, 1), (2, -1, -3), (2, -1, 3), (-2, 3, -1), (-2, 3, 1), (-2, -3, -1), (-2, -3, 1));7;0.4310829593166354;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.40588951110839844;4;((-1,), (1,));((1,), (-1, -2), (-1, 2));3;0.4821499927609672;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.4224517345428467;5;((-1,), (1,));((1,), (-1, -3), (-1, 3));3;0.393978572462719;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.4246809482574463;6;((-1,), (1,));((-1,), (1, -2), (1, 2));3;0.48707253510930937;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.42698168754577637;7;((-1,), (1,));((-1,), (1, -3), (1, 3));3;0.4841769219632257;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.42927074432373047;7;((1,), (-1, -3), (-1, 3));((-1, -3), (-1, 3), (1, -2), (1, 2));4;0.403978572462719;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.4314844608306885;8;((1,), (-1, -3), (-1, 3));((-1, -3), (-1, 3), (1, -3), (1, 3));4;0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.4428989887237549;9;((1,), (-1, -3), (-1, 3));((1,), (-1, 3), (-1, -3, -2), (-1, -3, 2));4;0.403978572462719;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.44879698753356934;10;((1,), (-1, -3), (-1, 3));((1,), (-1, -3), (-1, 3, -2), (-1, 3, 2));4;0.403978572462719;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.4510941505432129;10;((-1, -3), (-1, 3), (1, -3), (1, 3));((-1, -3), (-1, 3), (1, 3), (1, -3, -2), (1, -3, 2));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.453383207321167;10;((-1, -3), (-1, 3), (1, -2), (1, 2));((-1, -3), (-1, 3), (1, 2), (1, -2, -3), (1, -2, 3));5;0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
