hyperparameter,width,accuracy
{'regularization': 0.001, 'max_time': 60},7,0.6657018813314037
{'regularization': 0.002, 'max_time': 60},6,0.6845151953690304
{'regularization': 0.004, 'max_time': 60},5,0.658465991316932
{'regularization': 0.008, 'max_time': 60},3,0.6454413892908828
{'regularization': 0.016, 'max_time': 60},3,0.6078147612156295
{'regularization': 0.032, 'max_time': 60},2,0.6324167872648335
{'regularization': 0.064, 'max_time': 60},2,0.6410998552821997
{'regularization': 0.128, 'max_time': 60},1,0.5304347826086957
{'regularization': 0.256, 'max_time': 60},1,0.5420289855072464
{'regularization': 0.512, 'max_time': 60},1,0.518840579710145
