n,p,totaltime,timetooptimal
4144,4,0.541494131,0.41350317
4144,5,0.893104315,0.547138214
4144,6,1.561362028,0.870336056
4144,7,2.476863861,1.362227201
4144,8,4.133502007,1.948952913
4144,9,7.220619678,3.157810926
4144,10,19.86919022,8.48961401
4144,11,45.69401217,43.34774399
4144,12,60.126688,54.98161197
4490,4,0.67206192,0.487035036
4490,5,1.140648842,1.092657804
4490,6,1.983501911,1.612259626
4490,7,3.299547911,2.672282934
4490,8,5.120963097,3.62118125
4490,9,7.986382246,5.898410082
4490,10,20.03189206,14.51218176
4490,11,43.20472908,14.98677516
4490,12,60.63266397,23.24027801
4835,4,0.599590778,0.42463994
4835,5,1.054407835,0.588307858
4835,6,1.905683994,1.072929144
4835,7,3.136562824,1.666151047
4835,8,4.9034729,2.170892
4835,9,7.501417875,3.285382032
4835,10,21.76828504,8.508420229
4835,11,90.01970792,19.38223481
4835,12,140.0089803,19.74869132
5180,4,0.655282974,0.470268965
5180,5,1.153231859,0.627685785
5180,6,2.090826988,0.904671907
5180,7,3.627100945,1.459788084
5180,8,6.183847189,1.807754993
5180,9,9.030956745,2.792361021
5180,10,24.8159318,7.530471802
5180,11,105.965266,16.4961009
5180,12,171.1523068,22.46429586
5526,4,0.774264097,0.510505915
5526,5,1.377712011,0.679789066
5526,6,2.751576185,1.003293276
5526,7,4.437637091,1.379120111
5526,8,7.303744078,1.837724924
5526,9,10.36076903,2.529343128
5526,10,21.98913002,6.834136963
5526,11,55.93766403,53.53346205
5526,12,79.05806208,76.98854113
5871,4,0.759588957,0.608139753
5871,5,1.317614794,0.901998758
5871,6,2.496867657,1.454061747
5871,7,3.963088036,2.273449898
5871,8,6.534820318,3.49273324
5871,9,10.34849668,5.328441858
5871,10,30.4186058,14.35349488
5871,11,53.64287686,26.66301203
5871,12,81.21422791,42.27877998
6216,4,0.838654995,0.655554056
6216,5,1.434636116,0.990852833
6216,6,2.611963749,1.566567898
6216,7,4.205608845,2.438499928
6216,8,6.789957047,3.621406078
6216,9,12.10882592,5.578289032
6216,10,26.10396791,13.32088399
6216,11,53.70068622,28.31190133
6216,12,67.32497716,31.20096302
6562,4,0.892211914,0.690742731
6562,5,1.502471209,1.006580114
6562,6,2.834825039,1.519572973
6562,7,4.498488665,2.522952795
6562,8,7.368393898,3.757165194
6562,9,11.11530614,5.814140081
6562,10,19.602988,8.368009329
6562,11,51.25375676,25.43152499
6562,12,70.72189403,31.900774
6907,4,0.873028994,0.664455891
6907,5,1.602689743,1.083286762
6907,6,2.857709885,1.682404041
6907,7,4.57228899,2.529853821
6907,8,7.568843842,4.063018084
6907,9,12.82852912,5.980872154
6907,10,28.66004777,14.38088083
6907,11,57.21186781,27.47706175
6907,12,75.27171111,34.91942787
