samples,features,runtime
1,1,0.0009529590606689453
1,18,0.00033974647521972656
1,35,0.0003161430358886719
1,52,0.0003151893615722656
1,69,0.0003268718719482422
1,86,0.0003142356872558594
1,103,0.0003237724304199219
1,120,0.00033092498779296875
1,137,0.00032591819763183594
1,154,0.0003273487091064453
1,171,0.0003170967102050781
1,188,0.0003249645233154297
1,205,0.0003409385681152344
1,222,0.00033211708068847656
1,239,0.0003368854522705078
1,256,0.0003216266632080078
1,273,0.0003190040588378906
1,290,0.0003192424774169922
1,307,0.000476837158203125
1,324,0.0004508495330810547
126,1,0.0004949569702148438
126,18,0.0003483295440673828
126,35,0.00044083595275878906
126,52,0.0004470348358154297
126,69,0.00046515464782714844
126,86,0.0004601478576660156
126,103,0.0004820823669433594
126,120,0.0005469322204589844
126,137,0.0008990764617919922
126,154,0.0007600784301757812
126,171,0.00061798095703125
126,188,0.0007491111755371094
126,205,0.0010569095611572266
126,222,0.0008969306945800781
126,239,0.0007379055023193359
126,256,0.0009188652038574219
126,273,0.0011439323425292969
126,290,0.001989126205444336
126,307,0.001291036605834961
126,324,0.001474142074584961
251,1,0.0004909038543701172
251,18,0.0005807876586914062
251,35,0.0005538463592529297
251,52,0.000576019287109375
251,69,0.0009591579437255859
251,86,0.0010540485382080078
251,103,0.0013148784637451172
251,120,0.0013539791107177734
251,137,0.0014901161193847656
251,154,0.001508951187133789
251,171,0.0015189647674560547
251,188,0.0018510818481445312
251,205,0.0019588470458984375
251,222,0.0019981861114501953
251,239,0.0019567012786865234
251,256,0.0022771358489990234
251,273,0.0026960372924804688
251,290,0.0026619434356689453
251,307,0.0030858516693115234
251,324,0.0026481151580810547
376,1,0.0005578994750976562
376,18,0.0007262229919433594
376,35,0.0009200572967529297
376,52,0.0011157989501953125
376,69,0.0013399124145507812
376,86,0.0015411376953125
376,103,0.00177001953125
376,120,0.0017740726470947266
376,137,0.0017938613891601562
376,154,0.0014832019805908203
376,171,0.0016841888427734375
376,188,0.002561807632446289
376,205,0.0027861595153808594
376,222,0.0027618408203125
376,239,0.003354787826538086
376,256,0.003481149673461914
376,273,0.0037031173706054688
376,290,0.00392603874206543
376,307,0.003965139389038086
376,324,0.005621910095214844
501,1,0.0005197525024414062
501,18,0.0007548332214355469
501,35,0.0012440681457519531
501,52,0.0011749267578125
501,69,0.0015461444854736328
501,86,0.00154876708984375
501,103,0.002929210662841797
501,120,0.0019960403442382812
501,137,0.0019981861114501953
501,154,0.0026009082794189453
501,171,0.003473043441772461
501,188,0.0072689056396484375
501,205,0.004458904266357422
501,222,0.004845142364501953
501,239,0.005710124969482422
501,256,0.006146907806396484
501,273,0.005825042724609375
501,290,0.006175041198730469
501,307,0.009362936019897461
501,324,0.006021022796630859
626,1,0.0006191730499267578
626,18,0.003896951675415039
626,35,0.0015308856964111328
626,52,0.001934051513671875
626,69,0.0019118785858154297
626,86,0.00185394287109375
626,103,0.0017900466918945312
626,120,0.00162506103515625
626,137,0.0018177032470703125
626,154,0.0019681453704833984
626,171,0.002228260040283203
626,188,0.002489805221557617
626,205,0.0025491714477539062
626,222,0.002635955810546875
626,239,0.0035839080810546875
626,256,0.004595041275024414
626,273,0.0050542354583740234
626,290,0.007342100143432617
626,307,0.009106874465942383
626,324,0.009647130966186523
751,1,0.0016541481018066406
751,18,0.0011210441589355469
751,35,0.0023050308227539062
751,52,0.0037331581115722656
751,69,0.0024340152740478516
751,86,0.0024650096893310547
751,103,0.0029959678649902344
751,120,0.0029141902923583984
751,137,0.0034818649291992188
751,154,0.0036890506744384766
751,171,0.0038530826568603516
751,188,0.0042188167572021484
751,205,0.005073070526123047
751,222,0.004791736602783203
751,239,0.006024837493896484
751,256,0.005693912506103516
751,273,0.006857872009277344
751,290,0.0066301822662353516
751,307,0.006153106689453125
751,324,0.01276707649230957
876,1,0.0006961822509765625
876,18,0.0010371208190917969
876,35,0.0014300346374511719
876,52,0.0019381046295166016
876,69,0.0023081302642822266
876,86,0.0027501583099365234
876,103,0.003695964813232422
876,120,0.0037980079650878906
876,137,0.004202842712402344
876,154,0.004300117492675781
876,171,0.004330873489379883
876,188,0.0037147998809814453
876,205,0.005807161331176758
876,222,0.005959987640380859
876,239,0.005116939544677734
876,256,0.006494760513305664
876,273,0.00616908073425293
876,290,0.007920980453491211
876,307,0.007918119430541992
876,324,0.008476018905639648
1001,1,0.0008611679077148438
1001,18,0.0014870166778564453
1001,35,0.0023419857025146484
1001,52,0.0024039745330810547
1001,69,0.002354860305786133
1001,86,0.0020279884338378906
1001,103,0.002948760986328125
1001,120,0.003543853759765625
1001,137,0.0045278072357177734
1001,154,0.004684925079345703
1001,171,0.005174875259399414
1001,188,0.004583120346069336
1001,205,0.0040149688720703125
1001,222,0.004477262496948242
1001,239,0.004703998565673828
1001,256,0.004888772964477539
1001,273,0.005419015884399414
1001,290,0.0070879459381103516
1001,307,0.010760068893432617
1001,324,0.008615255355834961
1126,1,0.00042700767517089844
1126,18,0.0010561943054199219
1126,35,0.0011749267578125
1126,52,0.0014438629150390625
1126,69,0.0017321109771728516
1126,86,0.001641988754272461
1126,103,0.006217002868652344
1126,120,0.0053980350494384766
1126,137,0.0058460235595703125
1126,154,0.006027936935424805
1126,171,0.005917072296142578
1126,188,0.005556821823120117
1126,205,0.005504131317138672
1126,222,0.005433797836303711
1126,239,0.005725860595703125
1126,256,0.006249189376831055
1126,273,0.006379127502441406
1126,290,0.00921177864074707
1126,307,0.009975194931030273
1126,324,0.009174823760986328
1251,1,0.0008389949798583984
1251,18,0.0011298656463623047
1251,35,0.003147125244140625
1251,52,0.006262063980102539
1251,69,0.003371000289916992
1251,86,0.004457950592041016
1251,103,0.012293100357055664
1251,120,0.0055599212646484375
1251,137,0.007500648498535156
1251,154,0.004904985427856445
1251,171,0.004119157791137695
1251,188,0.007853031158447266
1251,205,0.006776094436645508
1251,222,0.008961915969848633
1251,239,0.009011983871459961
1251,256,0.007980108261108398
1251,273,0.019794940948486328
1251,290,0.013077974319458008
1251,307,0.013674020767211914
1251,324,0.011570930480957031
1376,1,0.0005979537963867188
1376,18,0.0010929107666015625
1376,35,0.0020439624786376953
1376,52,0.0026307106018066406
1376,69,0.0037610530853271484
1376,86,0.0039119720458984375
1376,103,0.004437923431396484
1376,120,0.005918025970458984
1376,137,0.013150930404663086
1376,154,0.008015871047973633
1376,171,0.014856338500976562
1376,188,0.017544984817504883
1376,205,0.009211063385009766
1376,222,0.011268138885498047
1376,239,0.007869958877563477
1376,256,0.008745193481445312
1376,273,0.013962984085083008
1376,290,0.02546095848083496
1376,307,0.027408123016357422
1376,324,0.01770496368408203
