samples,features,runtime
1,1,0.0006759166717529297
1,18,0.0005340576171875
1,35,0.0002760887145996094
1,52,0.00025010108947753906
1,69,0.00026416778564453125
1,86,0.00023984909057617188
1,103,0.0002491474151611328
1,120,0.000247955322265625
1,137,0.00024080276489257812
1,154,0.00024509429931640625
1,171,0.0002658367156982422
1,188,0.00023984909057617188
1,205,0.00025391578674316406
1,222,0.00043010711669921875
1,239,0.0004329681396484375
1,256,0.0004162788391113281
1,273,0.00048804283142089844
1,290,0.0004918575286865234
1,307,0.0008189678192138672
1,324,0.0005908012390136719
126,1,0.0005857944488525391
126,18,0.0006070137023925781
126,35,0.0007340908050537109
126,52,0.0006721019744873047
126,69,0.0007259845733642578
126,86,0.0007331371307373047
126,103,0.0007350444793701172
126,120,0.0007910728454589844
126,137,0.0009748935699462891
126,154,0.0011250972747802734
126,171,0.0009982585906982422
126,188,0.0015578269958496094
126,205,0.0011529922485351562
126,222,0.0037970542907714844
126,239,0.0013260841369628906
126,256,0.0017790794372558594
126,273,0.0014820098876953125
126,290,0.001238107681274414
126,307,0.0013937950134277344
126,324,0.0012669563293457031
251,1,0.0003879070281982422
251,18,0.0007729530334472656
251,35,0.0009558200836181641
251,52,0.0008170604705810547
251,69,0.0012059211730957031
251,86,0.00115203857421875
251,103,0.0011601448059082031
251,120,0.0009717941284179688
251,137,0.0009200572967529297
251,154,0.001712799072265625
251,171,0.0015170574188232422
251,188,0.0015249252319335938
251,205,0.001569986343383789
251,222,0.0017218589782714844
251,239,0.0019631385803222656
251,256,0.0018658638000488281
251,273,0.001992940902709961
251,290,0.0021440982818603516
251,307,0.0018010139465332031
251,324,0.0030231475830078125
376,1,0.0005609989166259766
376,18,0.0007970333099365234
376,35,0.0008990764617919922
376,52,0.0010039806365966797
376,69,0.0011210441589355469
376,86,0.0012087821960449219
376,103,0.0014960765838623047
376,120,0.0018050670623779297
376,137,0.0016880035400390625
376,154,0.0019578933715820312
376,171,0.001934051513671875
376,188,0.001641988754272461
376,205,0.0022749900817871094
376,222,0.0027637481689453125
376,239,0.0024771690368652344
376,256,0.003905057907104492
376,273,0.004945993423461914
376,290,0.005488872528076172
376,307,0.005374908447265625
376,324,0.00478816032409668
501,1,0.0006871223449707031
501,18,0.004251956939697266
501,35,0.0014579296112060547
501,52,0.002635955810546875
501,69,0.001486063003540039
501,86,0.0016117095947265625
501,103,0.0021181106567382812
501,120,0.002039194107055664
501,137,0.003861665725708008
501,154,0.0023479461669921875
501,171,0.003964900970458984
501,188,0.003173828125
501,205,0.004068136215209961
501,222,0.0051500797271728516
501,239,0.005133152008056641
501,256,0.0052258968353271484
501,273,0.006601095199584961
501,290,0.005914926528930664
501,307,0.005964994430541992
501,324,0.010804891586303711
626,1,0.0006420612335205078
626,18,0.001010894775390625
626,35,0.0019309520721435547
626,52,0.0015518665313720703
626,69,0.001806020736694336
626,86,0.0025968551635742188
626,103,0.009846210479736328
626,120,0.0026040077209472656
626,137,0.0026979446411132812
626,154,0.0029668807983398438
626,171,0.003762960433959961
626,188,0.0030689239501953125
626,205,0.002897977828979492
626,222,0.005881071090698242
626,239,0.004907131195068359
626,256,0.006957054138183594
626,273,0.0069789886474609375
626,290,0.006042003631591797
626,307,0.006448030471801758
626,324,0.024424076080322266
751,1,0.0013608932495117188
751,18,0.001035928726196289
751,35,0.0014188289642333984
751,52,0.0017697811126708984
751,69,0.0027997493743896484
751,86,0.002577066421508789
751,103,0.009112834930419922
751,120,0.003993034362792969
751,137,0.004557132720947266
751,154,0.0044689178466796875
751,171,0.00798177719116211
751,188,0.008942127227783203
751,205,0.006989240646362305
751,222,0.007627964019775391
751,239,0.00787210464477539
751,256,0.06923699378967285
751,273,0.014200210571289062
751,290,0.010413169860839844
751,307,0.01577591896057129
751,324,0.012586116790771484
876,1,0.0026559829711914062
876,18,0.0026297569274902344
876,35,0.001508951187133789
876,52,0.001935720443725586
876,69,0.0031952857971191406
876,86,0.0024907588958740234
876,103,0.003260374069213867
876,120,0.002568960189819336
876,137,0.0030651092529296875
876,154,0.004199981689453125
876,171,0.0035140514373779297
876,188,0.005431175231933594
876,205,0.006108283996582031
876,222,0.006213665008544922
876,239,0.004983186721801758
876,256,0.005342245101928711
876,273,0.006441831588745117
876,290,0.00803375244140625
876,307,0.017235994338989258
876,324,0.013950824737548828
1001,1,0.0007207393646240234
1001,18,0.001744985580444336
1001,35,0.0032739639282226562
1001,52,0.0021250247955322266
1001,69,0.003958940505981445
1001,86,0.0029668807983398438
1001,103,0.0024340152740478516
1001,120,0.0035009384155273438
1001,137,0.004723310470581055
1001,154,0.004855155944824219
1001,171,0.005578041076660156
1001,188,0.005229949951171875
1001,205,0.003988981246948242
1001,222,0.006814002990722656
1001,239,0.00502777099609375
1001,256,0.0056340694427490234
1001,273,0.006495237350463867
1001,290,0.012260913848876953
1001,307,0.010941028594970703
1001,324,0.010128974914550781
1126,1,0.0005371570587158203
1126,18,0.0008249282836914062
1126,35,0.0017478466033935547
1126,52,0.002305746078491211
1126,69,0.0018360614776611328
1126,86,0.0017857551574707031
1126,103,0.003793001174926758
1126,120,0.004744052886962891
1126,137,0.004879951477050781
1126,154,0.005492210388183594
1126,171,0.003899097442626953
1126,188,0.0054171085357666016
1126,205,0.005525112152099609
1126,222,0.005135059356689453
1126,239,0.00634765625
1126,256,0.005445241928100586
1126,273,0.009227991104125977
1126,290,0.011561155319213867
1126,307,0.011780977249145508
1126,324,0.009521007537841797
1251,1,0.0004177093505859375
1251,18,0.0010519027709960938
1251,35,0.0013380050659179688
1251,52,0.001741170883178711
1251,69,0.002193927764892578
1251,86,0.0035190582275390625
1251,103,0.004312038421630859
1251,120,0.00489497184753418
1251,137,0.0045740604400634766
1251,154,0.00446629524230957
1251,171,0.0048828125
1251,188,0.004886150360107422
1251,205,0.006087064743041992
1251,222,0.0059626102447509766
1251,239,0.0077250003814697266
1251,256,0.01247406005859375
1251,273,0.011731863021850586
1251,290,0.01061391830444336
1251,307,0.009922027587890625
1251,324,0.0116119384765625
1376,1,0.0005538463592529297
1376,18,0.0012269020080566406
1376,35,0.0019788742065429688
1376,52,0.0017688274383544922
1376,69,0.0021178722381591797
1376,86,0.002354860305786133
1376,103,0.002917766571044922
1376,120,0.003693103790283203
1376,137,0.003348112106323242
1376,154,0.0044040679931640625
1376,171,0.004291057586669922
1376,188,0.0045261383056640625
1376,205,0.008126020431518555
1376,222,0.00991201400756836
1376,239,0.00963592529296875
1376,256,0.010097980499267578
1376,273,0.007644176483154297
1376,290,0.009994029998779297
1376,307,0.013636112213134766
1376,324,0.010084867477416992
1501,1,0.0004191398620605469
1501,18,0.0014507770538330078
1501,35,0.002315044403076172
1501,52,0.0022170543670654297
1501,69,0.002405881881713867
1501,86,0.003020763397216797
1501,103,0.0038251876831054688
1501,120,0.003968954086303711
1501,137,0.007131099700927734
1501,154,0.005295991897583008
1501,171,0.010809898376464844
1501,188,0.006316184997558594
1501,205,0.009588003158569336
1501,222,0.006922006607055664
1501,239,0.009765148162841797
1501,256,0.008767127990722656
1501,273,0.010336875915527344
1501,290,0.007779836654663086
1501,307,0.011713027954101562
1501,324,0.014631986618041992
1626,1,0.0005948543548583984
1626,18,0.0015478134155273438
1626,35,0.003874063491821289
1626,52,0.004475116729736328
1626,69,0.0040209293365478516
1626,86,0.0036602020263671875
1626,103,0.005010843276977539
1626,120,0.005037784576416016
1626,137,0.00605320930480957
1626,154,0.006819963455200195
1626,171,0.0073397159576416016
1626,188,0.0056459903717041016
1626,205,0.00859522819519043
1626,222,0.009705066680908203
1626,239,0.009334087371826172
1626,256,0.008336067199707031
1626,273,0.014517068862915039
1626,290,0.009556055068969727
1626,307,0.01328420639038086
1626,324,0.011972188949584961
1751,1,0.0006489753723144531
1751,18,0.001508951187133789
1751,35,0.002476930618286133
1751,52,0.002889394760131836
1751,69,0.003437042236328125
1751,86,0.003239870071411133
1751,103,0.003482818603515625
1751,120,0.004209995269775391
1751,137,0.004813671112060547
1751,154,0.005710124969482422
1751,171,0.007013082504272461
1751,188,0.0073621273040771484
1751,205,0.010464906692504883
1751,222,0.010612964630126953
1751,239,0.009293079376220703
1751,256,0.010165929794311523
1751,273,0.011271953582763672
1751,290,0.010278701782226562
1751,307,0.011777877807617188
1751,324,0.010870933532714844
1876,1,0.00063323974609375
1876,18,0.0018482208251953125
1876,35,0.0025479793548583984
1876,52,0.0032851696014404297
1876,69,0.00410008430480957
1876,86,0.004670858383178711
1876,103,0.0055942535400390625
1876,120,0.008486747741699219
1876,137,0.009102106094360352
1876,154,0.008363962173461914
1876,171,0.008384943008422852
1876,188,0.007294893264770508
1876,205,0.009670019149780273
1876,222,0.007787942886352539
1876,239,0.010776996612548828
1876,256,0.013490915298461914
1876,273,0.020503759384155273
1876,290,0.016371965408325195
1876,307,0.017729997634887695
1876,324,0.014760971069335938
2001,1,0.0006940364837646484
2001,18,0.0021576881408691406
2001,35,0.0020608901977539062
2001,52,0.0024309158325195312
2001,69,0.0033369064331054688
2001,86,0.004601716995239258
2001,103,0.006143093109130859
2001,120,0.006974935531616211
2001,137,0.006212949752807617
2001,154,0.009197235107421875
2001,171,0.011542081832885742
2001,188,0.00983285903930664
2001,205,0.012329816818237305
2001,222,0.009154081344604492
2001,239,0.01042485237121582
2001,256,0.009435892105102539
2001,273,0.014137983322143555
2001,290,0.014382123947143555
2001,307,0.01866888999938965
2001,324,0.016430139541625977
2126,1,0.0006389617919921875
2126,18,0.0013289451599121094
2126,35,0.0020551681518554688
2126,52,0.0027887821197509766
2126,69,0.003203868865966797
2126,86,0.004708051681518555
2126,103,0.00417017936706543
2126,120,0.00484919548034668
2126,137,0.005892038345336914
2126,154,0.006982088088989258
2126,171,0.0078067779541015625
2126,188,0.010950803756713867
2126,205,0.00918126106262207
2126,222,0.015466928482055664
2126,239,0.014717340469360352
2126,256,0.011181116104125977
2126,273,0.01160883903503418
2126,290,0.012934684753417969
2126,307,0.0163271427154541
2126,324,0.017248868942260742
2251,1,0.0006108283996582031
2251,18,0.0015888214111328125
2251,35,0.0030460357666015625
2251,52,0.003098726272583008
2251,69,0.004577159881591797
2251,86,0.005196094512939453
2251,103,0.006150960922241211
2251,120,0.007153987884521484
2251,137,0.007660627365112305
2251,154,0.006078958511352539
2251,171,0.007645845413208008
2251,188,0.008356094360351562
2251,205,0.011323213577270508
2251,222,0.01388692855834961
2251,239,0.013334035873413086
2251,256,0.018496990203857422
2251,273,0.015994787216186523
2251,290,0.01297616958618164
2251,307,0.016247034072875977
2251,324,0.01938939094543457
2376,1,0.0004570484161376953
2376,18,0.0011761188507080078
2376,35,0.0022058486938476562
2376,52,0.002736806869506836
2376,69,0.0032227039337158203
2376,86,0.008414030075073242
2376,103,0.006222963333129883
2376,120,0.009446859359741211
2376,137,0.007359981536865234
2376,154,0.00872182846069336
2376,171,0.007715940475463867
2376,188,0.010456085205078125
2376,205,0.00906991958618164
2376,222,0.012964010238647461
2376,239,0.010689020156860352
2376,256,0.01859140396118164
2376,273,0.018363237380981445
2376,290,0.01639080047607422
2376,307,0.01759481430053711
2376,324,0.022287845611572266
