samples,features,runtime
1,1,0.0027320384979248047
1,2,0.0003120899200439453
1,3,0.00026798248291015625
1,4,0.00026297569274902344
1,5,0.00028967857360839844
1,6,0.00026297569274902344
1,7,0.00026106834411621094
1,8,0.0002579689025878906
1,9,0.00025773048400878906
1,10,0.0002589225769042969
1,11,0.0002689361572265625
1,12,0.00026702880859375
692,1,0.0003688335418701172
692,2,0.00033211708068847656
692,3,0.0003368854522705078
692,4,0.0003609657287597656
692,5,0.0005292892456054688
692,6,0.00039768218994140625
692,7,0.00039005279541015625
692,8,0.0003998279571533203
692,9,0.0004227161407470703
692,10,0.000453948974609375
692,11,0.0004999637603759766
692,12,0.00045180320739746094
1383,1,0.000347137451171875
1383,2,0.0004069805145263672
1383,3,0.0004191398620605469
1383,4,0.00045299530029296875
1383,5,0.0005617141723632812
1383,6,0.0005397796630859375
1383,7,0.0006957054138183594
1383,8,0.0007946491241455078
1383,9,0.0011641979217529297
1383,10,0.0011069774627685547
1383,11,0.0012211799621582031
1383,12,0.0012440681457519531
2074,1,0.0008499622344970703
2074,2,0.0009388923645019531
2074,3,0.0009629726409912109
2074,4,0.0011000633239746094
2074,5,0.0009770393371582031
2074,6,0.0008711814880371094
2074,7,0.0009279251098632812
2074,8,0.0008311271667480469
2074,9,0.0010709762573242188
2074,10,0.0013010501861572266
2074,11,0.0013959407806396484
2074,12,0.0013391971588134766
2765,1,0.0007817745208740234
2765,2,0.0008070468902587891
2765,3,0.0007178783416748047
2765,4,0.0008151531219482422
2765,5,0.0008921623229980469
2765,6,0.0009920597076416016
2765,7,0.0011060237884521484
2765,8,0.0010843276977539062
2765,9,0.001207113265991211
2765,10,0.0010218620300292969
2765,11,0.0010459423065185547
2765,12,0.0011670589447021484
3456,1,0.0005428791046142578
3456,2,0.00045990943908691406
3456,3,0.0005300045013427734
3456,4,0.0005831718444824219
3456,5,0.0005960464477539062
3456,6,0.0006220340728759766
3456,7,0.0007750988006591797
3456,8,0.0008029937744140625
3456,9,0.0010941028594970703
3456,10,0.0011327266693115234
3456,11,0.0011250972747802734
3456,12,0.0014939308166503906
4147,1,0.0007727146148681641
4147,2,0.0007739067077636719
4147,3,0.0008687973022460938
4147,4,0.0007698535919189453
4147,5,0.0010647773742675781
4147,6,0.0012149810791015625
4147,7,0.0012159347534179688
4147,8,0.0009639263153076172
4147,9,0.0014390945434570312
4147,10,0.0016970634460449219
4147,11,0.0019159317016601562
4147,12,0.0018696784973144531
4838,1,0.000621795654296875
4838,2,0.0006320476531982422
4838,3,0.0006687641143798828
4838,4,0.0010881423950195312
4838,5,0.001249074935913086
4838,6,0.0012857913970947266
4838,7,0.0013890266418457031
4838,8,0.0015180110931396484
4838,9,0.0016028881072998047
4838,10,0.0018796920776367188
4838,11,0.002276897430419922
4838,12,0.001850128173828125
5529,1,0.0009801387786865234
5529,2,0.0009059906005859375
5529,3,0.0010340213775634766
5529,4,0.0009591579437255859
5529,5,0.0009591579437255859
5529,6,0.0012390613555908203
5529,7,0.0013113021850585938
5529,8,0.001791238784790039
5529,9,0.002573251724243164
5529,10,0.003882169723510742
5529,11,0.0036149024963378906
5529,12,0.002415895462036133
6220,1,0.0009882450103759766
6220,2,0.0010828971862792969
6220,3,0.0011889934539794922
6220,4,0.0014400482177734375
6220,5,0.0014159679412841797
6220,6,0.0018100738525390625
6220,7,0.001795053482055664
6220,8,0.0016582012176513672
6220,9,0.0019180774688720703
6220,10,0.0016710758209228516
6220,11,0.002537965774536133
6220,12,0.002262592315673828
