samples,features,runtime
1,1,0.003081083297729492
1,2,0.008580207824707031
1,3,0.001476287841796875
1,4,0.0014348030090332031
1,5,0.0037021636962890625
1,6,0.0022096633911132812
1,7,0.011053085327148438
1,8,0.0015270709991455078
1,9,0.0015778541564941406
1,10,0.0019690990447998047
1,11,0.0019371509552001953
1,12,0.004080057144165039
692,1,0.006006002426147461
692,2,0.009128808975219727
692,3,0.009141921997070312
692,4,0.011045694351196289
692,5,0.020670175552368164
692,6,0.07055807113647461
692,7,0.15139389038085938
692,8,0.44391298294067383
692,9,60.017085790634155
692,10,60.62826991081238
692,11,60.907097816467285
692,12,60.97660994529724
1383,1,0.007070064544677734
1383,2,0.007328987121582031
1383,3,0.01646280288696289
1383,4,0.01727294921875
1383,5,0.015851974487304688
1383,6,0.06055712699890137
1383,7,0.09913897514343262
1383,8,0.14854788780212402
1383,9,15.231377840042114
1383,10,60.03839111328125
1383,11,60.57932209968567
1383,12,60.02123475074768
2074,1,0.011975288391113281
2074,2,0.01233983039855957
2074,3,0.012945890426635742
2074,4,0.01841878890991211
2074,5,0.01930999755859375
2074,6,0.06717991828918457
2074,7,0.15426182746887207
2074,8,0.14613127708435059
2074,9,2.1605958938598633
2074,10,60.04688477516174
2074,11,60.50874972343445
2074,12,60.02290487289429
2765,1,0.008530855178833008
2765,2,0.016225099563598633
2765,3,0.017899036407470703
2765,4,0.017194271087646484
2765,5,0.038120269775390625
2765,6,0.0889129638671875
2765,7,0.2271878719329834
2765,8,0.12810206413269043
2765,9,0.7274160385131836
2765,10,30.43078923225403
2765,11,60.01418328285217
2765,12,12.683658123016357
3456,1,0.011249780654907227
3456,2,0.019988059997558594
3456,3,0.017530202865600586
3456,4,0.029466867446899414
3456,5,0.04186201095581055
3456,6,0.08754301071166992
3456,7,0.22760486602783203
3456,8,0.2273111343383789
3456,9,0.7018649578094482
3456,10,6.850771188735962
3456,11,60.01437187194824
3456,12,5.297497987747192
4147,1,0.017686843872070312
4147,2,0.025384902954101562
4147,3,0.023080825805664062
4147,4,0.03237485885620117
4147,5,0.03821206092834473
4147,6,0.07277107238769531
4147,7,0.2304368019104004
4147,8,0.15793895721435547
4147,9,0.6177377700805664
4147,10,5.68379282951355
4147,11,60.014728307724
4147,12,5.237261056900024
4838,1,0.014045000076293945
4838,2,0.022521018981933594
4838,3,0.02750110626220703
4838,4,0.0412449836730957
4838,5,0.03438210487365723
4838,6,0.09347200393676758
4838,7,0.2652609348297119
4838,8,0.16310977935791016
4838,9,0.8505630493164062
4838,10,5.070037126541138
4838,11,60.04245591163635
4838,12,11.022134065628052
5529,1,0.017024755477905273
5529,2,0.03426790237426758
5529,3,0.04032588005065918
5529,4,0.03069305419921875
5529,5,0.04484915733337402
5529,6,0.08707690238952637
5529,7,0.29068803787231445
5529,8,0.17116403579711914
5529,9,0.9005298614501953
5529,10,3.771984100341797
5529,11,60.04968810081482
5529,12,13.606737852096558
6220,1,0.023495912551879883
6220,2,0.030004262924194336
6220,3,0.04162883758544922
6220,4,0.04562783241271973
6220,5,0.04100823402404785
6220,6,0.10121393203735352
6220,7,0.3078348636627197
6220,8,0.19904398918151855
6220,9,0.5071871280670166
6220,10,4.807582855224609
6220,11,60.01348614692688
6220,12,13.42946195602417
