samples,features,runtime
1,1,0.034806013107299805
1,2,0.028002023696899414
1,3,0.017879962921142578
1,4,0.04709601402282715
1,5,0.018409013748168945
1,6,0.023133277893066406
1,7,0.03720498085021973
1,8,0.02822589874267578
1,9,0.04206085205078125
1,10,0.021602869033813477
1,11,0.019979000091552734
1,12,0.01465296745300293
692,1,0.026020050048828125
692,2,0.030776262283325195
692,3,0.059035301208496094
692,4,0.09259796142578125
692,5,0.11690306663513184
692,6,1.3213448524475098
692,7,1.0362298488616943
692,8,1.5592336654663086
692,9,1.7782440185546875
692,10,4.933058023452759
692,11,12.58504605293274
692,12,18.805026054382324
1383,1,0.06787896156311035
1383,2,0.11080694198608398
1383,3,0.08410286903381348
1383,4,0.08963203430175781
1383,5,0.10605192184448242
1383,6,0.40059924125671387
1383,7,0.5374140739440918
1383,8,0.8192639350891113
1383,9,2.983779191970825
1383,10,9.061428785324097
1383,11,14.270202875137329
1383,12,16.651076793670654
2074,1,0.04373311996459961
2074,2,0.06768202781677246
2074,3,0.07602882385253906
2074,4,0.08277726173400879
2074,5,0.10512495040893555
2074,6,0.2189476490020752
2074,7,0.4106781482696533
2074,8,0.7448639869689941
2074,9,1.5683772563934326
2074,10,3.6278111934661865
2074,11,7.903226852416992
2074,12,11.695466995239258
2765,1,0.0544278621673584
2765,2,0.06556582450866699
2765,3,0.1133878231048584
2765,4,0.11167311668395996
2765,5,0.17548179626464844
2765,6,0.33488893508911133
2765,7,1.062882900238037
2765,8,1.0449790954589844
2765,9,1.6795718669891357
2765,10,3.962224245071411
2765,11,7.227041006088257
2765,12,9.319278955459595
3456,1,0.07222199440002441
3456,2,0.08197283744812012
3456,3,0.10044384002685547
3456,4,0.11090517044067383
3456,5,0.15301895141601562
3456,6,0.28679490089416504
3456,7,0.5343742370605469
3456,8,0.6088099479675293
3456,9,1.4535090923309326
3456,10,3.1468777656555176
3456,11,7.743978023529053
3456,12,8.324419260025024
4147,1,0.07905101776123047
4147,2,0.11201095581054688
4147,3,0.10137319564819336
4147,4,0.1139369010925293
4147,5,0.1698150634765625
4147,6,0.36106395721435547
4147,7,0.7042038440704346
4147,8,0.8193752765655518
4147,9,2.3585309982299805
4147,10,5.310812950134277
4147,11,9.187687158584595
4147,12,9.544301986694336
4838,1,0.07986307144165039
4838,2,0.10076594352722168
4838,3,0.1699991226196289
4838,4,0.18966412544250488
4838,5,0.2243638038635254
4838,6,0.4109811782836914
4838,7,0.8299822807312012
4838,8,0.8759410381317139
4838,9,1.9657039642333984
4838,10,3.7765259742736816
4838,11,16.477365970611572
4838,12,16.312620162963867
5529,1,0.17492294311523438
5529,2,0.310744047164917
5529,3,0.1543259620666504
5529,4,0.19742822647094727
5529,5,0.24320507049560547
5529,6,0.42750096321105957
5529,7,0.7085402011871338
5529,8,1.0425200462341309
5529,9,1.9755048751831055
5529,10,3.7331418991088867
5529,11,9.408998966217041
5529,12,11.660372972488403
6220,1,0.09537196159362793
6220,2,0.13344621658325195
6220,3,0.17145085334777832
6220,4,0.15753531455993652
6220,5,0.1847999095916748
6220,6,0.3926818370819092
6220,7,1.4100542068481445
6220,8,1.3179011344909668
6220,9,2.058238983154297
6220,10,4.865170955657959
6220,11,8.165069818496704
6220,12,14.584368228912354
