samples,features,runtime
1,1,0.0020012855529785156
1,2,0.0018680095672607422
1,3,0.0019550323486328125
1,4,0.0022039413452148438
1,5,0.0021202564239501953
1,6,0.0022220611572265625
1,7,0.0023272037506103516
1,8,0.0029108524322509766
1,9,0.0023407936096191406
1,10,0.0024709701538085938
1,11,0.06430315971374512
1,12,0.002443075180053711
692,1,0.03378415107727051
692,2,0.026636123657226562
692,3,0.08097577095031738
692,4,0.024930953979492188
692,5,0.09738326072692871
692,6,0.08548665046691895
692,7,0.06362104415893555
692,8,0.12131500244140625
692,9,0.12300992012023926
692,10,0.12949514389038086
692,11,0.14242911338806152
692,12,0.19129490852355957
1383,1,0.06871199607849121
1383,2,0.10097527503967285
1383,3,0.12676405906677246
1383,4,0.1244051456451416
1383,5,0.12712502479553223
1383,6,0.13035321235656738
1383,7,0.20320677757263184
1383,8,0.17066216468811035
1383,9,0.2389819622039795
1383,10,0.1921861171722412
1383,11,0.2607600688934326
1383,12,0.30888795852661133
2074,1,0.12302088737487793
2074,2,0.12919998168945312
2074,3,0.2639188766479492
2074,4,0.11837983131408691
2074,5,0.32210302352905273
2074,6,0.20041394233703613
2074,7,0.24869298934936523
2074,8,0.2925889492034912
2074,9,0.32693982124328613
2074,10,0.30822229385375977
2074,11,0.43732309341430664
2074,12,0.3863508701324463
2765,1,0.13273978233337402
2765,2,0.20130491256713867
2765,3,0.18257498741149902
2765,4,0.2505350112915039
2765,5,0.25800132751464844
2765,6,0.3110651969909668
2765,7,0.32248878479003906
2765,8,0.3696568012237549
2765,9,0.3820369243621826
2765,10,0.48171281814575195
2765,11,0.46286702156066895
2765,12,0.4742398262023926
3456,1,0.20656299591064453
3456,2,0.24686789512634277
3456,3,0.3132469654083252
3456,4,0.4308950901031494
3456,5,0.3964221477508545
3456,6,0.49233484268188477
3456,7,0.5185978412628174
3456,8,0.5887129306793213
3456,9,1.1288707256317139
3456,10,0.9986717700958252
3456,11,1.3498539924621582
3456,12,1.567600965499878
4147,1,0.21063709259033203
4147,2,0.3315591812133789
4147,3,0.2816791534423828
4147,4,0.4659230709075928
4147,5,0.5283739566802979
4147,6,0.5124127864837646
4147,7,0.5272109508514404
4147,8,0.610537052154541
4147,9,0.5801641941070557
4147,10,0.6341550350189209
4147,11,0.7796049118041992
4147,12,0.6207187175750732
4838,1,0.3041253089904785
4838,2,0.4533100128173828
4838,3,0.35829901695251465
4838,4,0.5293817520141602
4838,5,0.4393777847290039
4838,6,0.508929967880249
4838,7,0.6323409080505371
4838,8,0.7428700923919678
4838,9,0.7492878437042236
4838,10,0.7645699977874756
4838,11,0.9144339561462402
4838,12,0.980172872543335
5529,1,0.37035226821899414
5529,2,0.6256089210510254
5529,3,0.49273085594177246
5529,4,0.5175991058349609
5529,5,0.6188158988952637
5529,6,0.593743085861206
5529,7,0.772280216217041
5529,8,0.7854447364807129
5529,9,0.7617809772491455
5529,10,0.8772189617156982
5529,11,1.0069000720977783
5529,12,1.2273967266082764
6220,1,0.38149189949035645
6220,2,0.4029350280761719
6220,3,0.49161481857299805
6220,4,0.5355508327484131
6220,5,0.6973037719726562
6220,6,0.6407442092895508
6220,7,0.7537531852722168
6220,8,1.0616960525512695
6220,9,0.8500750064849854
6220,10,0.9591648578643799
6220,11,1.1138920783996582
6220,12,1.1402418613433838
