fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.5288879235447437;0.5540599218410769
2;0.1;1.0;0.5435396308360477;0.5247610773240661
3;0.1;1.0;0.539413680781759;0.5330147697654214
1;0.05;1.0;0.5288879235447437;0.5540599218410769
2;0.05;1.0;0.5435396308360477;0.5247610773240661
3;0.05;1.0;0.539413680781759;0.5330147697654214
1;0.025;2.0;0.6318418766290183;0.6530612244897959
2;0.025;2.0;0.6484256243213898;0.6198957428323197
3;0.025;2.0;0.6364820846905538;0.6437880104257168
1;0.01;3.0;0.63249348392702;0.6391663048198003
2;0.01;3.0;0.6579804560260586;0.635968722849696
3;0.01;3.0;0.6364820846905538;0.6437880104257168
1;0.005;4.0;0.659860990443093;0.6643508467216674
2;0.005;5.0;0.6681867535287731;0.634231103388358
3;0.005;4.0;0.6625407166123779;0.661598609904431
1;0.0025;7.0;0.6678974804517811;0.6678245766391663
