fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.695633698077;0.681644359465
1;2;4;0.712525231063;0.700764818356
1;3;8;0.714968660363;0.7017208413
1;4;16;0.717305853607;0.708413001912
2;1;2;0.695102517795;0.703632887189
2;2;4;0.711037926272;0.714149139579
2;3;8;0.713800063742;0.716061185468
2;4;16;0.720174227133;0.717973231358
3;1;2;0.696058642303;0.695028680688
3;2;4;0.711462870498;0.710325047801
3;3;8;0.714225007968;0.711281070746
3;4;16;0.718155742059;0.709369024857
4;1;2;0.697014766812;0.686424474187
4;2;4;0.71231275895;0.702676864245
4;3;8;0.71507489642;0.710325047801
4;4;16;0.720386699246;0.709369024857
5;1;2;0.697545947094;0.681644359465
5;2;4;0.711781578668;0.707456978967
5;3;8;0.714437480081;0.713193116635
5;4;16;0.722723892489;0.713193116635
6;1;2;0.697014766812;0.686424474187
6;2;4;0.712100286837;0.704588910134
6;3;8;0.71475618825;0.710325047801
6;4;16;0.716774673324;0.702676864245
7;1;2;0.695102517795;0.703632887189
7;2;4;0.709550621481;0.727533460803
7;3;8;0.711675342611;0.734225621415
7;4;16;0.718580686285;0.732313575526
8;1;2;0.696696058642;0.689292543021
8;2;4;0.710612982046;0.717973231358
8;3;8;0.714331244024;0.717017208413
8;4;16;0.71751832572;0.720841300191
9;1;2;0.696058642303;0.695028680688
9;2;4;0.71231275895;0.702676864245
9;3;8;0.718155742059;0.7017208413
9;4;16;0.722192712207;0.702676864245
10;1;2;0.693435309114;0.718660287081
10;2;4;0.709793923943;0.725358851675
10;3;8;0.712343318462;0.728229665072
10;4;16;0.715954960697;0.731100478469
