fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.651315789474;0.352941176471
1;2;4;0.697368421053;0.352941176471
1;3;8;0.769736842105;0.294117647059
1;4;16;0.828947368421;0.529411764706
2;1;2;0.631578947368;0.529411764706
2;2;4;0.677631578947;0.529411764706
2;3;8;0.769736842105;0.647058823529
2;4;16;0.822368421053;0.411764705882
3;1;2;0.605263157895;0.764705882353
3;2;4;0.657894736842;0.705882352941
3;3;8;0.756578947368;0.764705882353
3;4;16;0.828947368421;0.588235294118
4;1;2;0.625;0.588235294118
4;2;4;0.684210526316;0.470588235294
4;3;8;0.763157894737;0.705882352941
4;4;16;0.828947368421;0.647058823529
5;1;2;0.618421052632;0.647058823529
5;2;4;0.657894736842;0.705882352941
5;3;8;0.756578947368;0.588235294118
5;4;16;0.809210526316;0.647058823529
6;1;2;0.631578947368;0.529411764706
6;2;4;0.657894736842;0.705882352941
6;3;8;0.756578947368;0.764705882353
6;4;16;0.796052631579;0.823529411765
7;1;2;0.625;0.588235294118
7;2;4;0.664473684211;0.647058823529
7;3;8;0.75;0.647058823529
7;4;16;0.802631578947;0.647058823529
8;1;2;0.625;0.588235294118
8;2;4;0.651315789474;0.764705882353
8;3;8;0.763157894737;0.705882352941
8;4;16;0.822368421053;0.647058823529
9;1;2;0.638157894737;0.470588235294
9;2;4;0.671052631579;0.470588235294
9;3;8;0.763157894737;0.647058823529
9;4;16;0.815789473684;0.529411764706
10;1;2;0.62091503268;0.625
10;2;4;0.660130718954;0.6875
10;3;8;0.745098039216;0.5
10;4;16;0.81045751634;0.625
