fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.69373549884;0.75
1;2;4;0.707656612529;0.6875
1;3;8;0.767981438515;0.770833333333
1;4;16;0.816705336427;0.8125
2;1;2;0.690255220418;0.78125
2;2;4;0.703016241299;0.729166666667
2;3;8;0.780742459397;0.71875
2;4;16;0.845707656613;0.84375
3;1;2;0.709976798144;0.604166666667
3;2;4;0.711136890951;0.65625
3;3;8;0.786542923434;0.666666666667
3;4;16;0.845707656613;0.75
4;1;2;0.705336426914;0.645833333333
4;2;4;0.713457076566;0.635416666667
4;3;8;0.778422273782;0.666666666667
4;4;16;0.84686774942;0.75
5;1;2;0.701856148492;0.677083333333
5;2;4;0.706496519722;0.697916666667
5;3;8;0.778422273782;0.729166666667
5;4;16;0.829466357309;0.802083333333
6;1;2;0.692575406032;0.760416666667
6;2;4;0.709976798144;0.666666666667
6;3;8;0.769141531323;0.75
6;4;16;0.848027842227;0.791666666667
7;1;2;0.697215777262;0.71875
7;2;4;0.705336426914;0.708333333333
7;3;8;0.77030162413;0.739583333333
7;4;16;0.843387470998;0.770833333333
8;1;2;0.706496519722;0.635416666667
8;2;4;0.712296983759;0.645833333333
8;3;8;0.7656612529;0.697916666667
8;4;16;0.844547563805;0.770833333333
9;1;2;0.698725376593;0.705263157895
9;2;4;0.713789107764;0.631578947368
9;3;8;0.785631517961;0.673684210526
9;4;16;0.849362688297;0.736842105263
10;1;2;0.697566628042;0.715789473684
10;2;4;0.704519119351;0.715789473684
10;3;8;0.774044032445;0.715789473684
10;4;16;0.847045191194;0.821052631579
