fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.7009646302250804;0.6936416184971098
2;0.1;1.0;0.7041800643086816;0.6647398843930635
3;0.1;1.0;0.6983922829581993;0.7167630057803468
4;0.1;1.0;0.6964630225080386;0.7341040462427746
5;0.1;1.0;0.6983922829581993;0.7167630057803468
6;0.1;1.0;0.7016077170418007;0.6878612716763006
7;0.1;1.0;0.6964630225080386;0.7341040462427746
8;0.1;1.0;0.6990353697749196;0.7109826589595376
9;0.1;1.0;0.7030848329048843;0.6744186046511628
10;0.1;1.0;0.7037275064267352;0.6686046511627907
1;0.05;3.0;0.8533762057877814;0.8728323699421965
2;0.05;3.0;0.8559485530546623;0.8497109826589595
3;0.05;3.0;0.8553054662379421;0.8554913294797688
4;0.05;3.0;0.8578778135048232;0.8323699421965318
5;0.05;3.0;0.8540192926045016;0.8670520231213873
6;0.05;3.0;0.8540192926045016;0.8670520231213873
7;0.05;3.0;0.8572347266881029;0.838150289017341
8;0.05;3.0;0.8527331189710611;0.8786127167630058
9;0.05;3.0;0.8547557840616966;0.8604651162790697
10;0.05;3.0;0.8579691516709511;0.8313953488372093
1;0.025;3.0;0.8533762057877814;0.8728323699421965
2;0.025;3.0;0.8559485530546623;0.8497109826589595
3;0.025;3.0;0.8553054662379421;0.8554913294797688
4;0.025;3.0;0.8578778135048232;0.8323699421965318
5;0.025;3.0;0.8540192926045016;0.8670520231213873
6;0.025;3.0;0.8540192926045016;0.8670520231213873
7;0.025;3.0;0.8572347266881029;0.838150289017341
8;0.025;3.0;0.8527331189710611;0.8786127167630058
9;0.025;3.0;0.8547557840616966;0.8604651162790697
10;0.025;3.0;0.8579691516709511;0.8313953488372093
1;0.01;7.0;0.9221864951768489;0.9479768786127167
2;0.01;7.0;0.9279742765273312;0.8959537572254336
3;0.01;7.0;0.9215434083601286;0.953757225433526
4;0.01;7.0;0.9228295819935691;0.9421965317919075
5;0.01;7.0;0.9266881028938907;0.9075144508670521
6;0.01;7.0;0.9273311897106109;0.9017341040462428
7;0.01;7.0;0.9266881028938907;0.9075144508670521
8;0.01;7.0;0.9215434083601286;0.953757225433526
9;0.01;7.0;0.9254498714652957;0.9186046511627907
10;0.01;7.0;0.9254498714652957;0.9186046511627907
1;0.005;13.0;0.9530546623794213;0.9479768786127167
2;0.005;13.0;0.954983922829582;0.930635838150289
3;0.005;11.0;0.9466237942122186;0.9364161849710982
4;0.005;11.0;0.9453376205787781;0.9479768786127167
5;0.005;9.0;0.9408360128617363;0.9190751445086706
6;0.005;9.0;0.9389067524115756;0.9364161849710982
7;0.005;12.0;0.9479099678456592;0.9248554913294798
8;0.005;9.0;0.9376205787781351;0.9479768786127167
9;0.005;9.0;0.9383033419023136;0.9418604651162791
10;0.005;9.0;0.9402313624678663;0.9244186046511628
1;0.0025;16.0;0.9581993569131833;0.9595375722543352
2;0.0025;15.0;0.957556270096463;0.953757225433526
3;0.0025;20.0;0.9665594855305466;0.953757225433526
4;0.0025;17.0;0.9614147909967846;0.9653179190751445
5;0.0025;21.0;0.9691318327974277;0.9653179190751445
6;0.0025;18.0;0.9659163987138264;0.9364161849710982
7;0.0025;21.0;0.9710610932475884;0.9479768786127167
8;0.0025;21.0;0.9659163987138264;0.9595375722543352
9;0.0025;15.0;0.9569408740359897;0.9593023255813954
10;0.0025;22.0;0.9710796915167095;0.9709302325581395
