fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.005;5.0;0.7042388186550516;0.6940726577437859
2;0.005;4.0;0.7032826941463933;0.7026768642447419
3;0.005;4.0;0.6960586423031977;0.6950286806883366
4;0.005;4.0;0.7028577499203229;0.7065009560229446
5;0.005;4.0;0.6975459470944438;0.6816443594646272
6;0.005;4.0;0.6970147668118559;0.6864244741873805
7;0.005;4.0;0.7014766811855944;0.7189292543021033
8;0.005;5.0;0.6966960586423032;0.6892925430210325
9;0.005;4.0;0.7042388186550516;0.6940726577437859
10;0.005;5.0;0.7033142128744423;0.7023923444976077
1;0.001;11.0;0.7158185488154679;0.7026768642447419
2;0.001;11.0;0.7140125358546691;0.7217973231357553
3;0.001;14.0;0.7150748964198449;0.7122370936902486
4;0.001;12.0;0.7181557420588548;0.6959847036328872
5;0.001;13.0;0.7133751195155635;0.7017208413001912
6;0.001;12.0;0.7127377031764581;0.7074569789674953
7;0.001;12.0;0.7130564113460108;0.7304015296367112
8;0.001;12.0;0.7150748964198449;0.7122370936902486
9;0.001;11.0;0.7156060767024328;0.7074569789674953
10;0.001;13.0;0.7097939239430635;0.7253588516746412
1;0.00035;31.0;0.7247423775629449;0.6998087954110899
2;0.00035;31.0;0.7227238924891108;0.7189292543021033
3;0.00035;32.0;0.7245299054499097;0.7122370936902486
4;0.00035;29.0;0.724211197280357;0.7093690248565966
5;0.00035;27.0;0.7215552958674174;0.7179732313575525
6;0.00035;28.0;0.7238924891108042;0.7084130019120459
7;0.00035;35.0;0.7228301285456283;0.737093690248566
8;0.00035;34.0;0.7246361415064273;0.7122370936902486
9;0.00035;31.0;0.7250610857324976;0.7026768642447419
10;0.00035;31.0;0.7236031442532399;0.7291866028708134
