fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.5137614678899083;0.3076923076923077
2;0.1;1.0;0.5137614678899083;0.46153846153846156
3;0.1;1.0;0.5363636363636364;0.25
4;0.1;1.0;0.509090909090909;0.3333333333333333
5;0.1;1.0;0.5181818181818182;0.4166666666666667
6;0.1;1.0;0.5272727272727272;0.3333333333333333
7;0.1;1.0;0.5181818181818182;0.4166666666666667
8;0.1;1.0;0.5;0.5833333333333334
9;0.1;1.0;0.509090909090909;0.3333333333333333
10;0.1;1.0;0.5;0.5833333333333334
1;0.025;3.0;0.7981651376146789;0.6153846153846154
2;0.025;6.0;0.8715596330275229;0.9230769230769231
3;0.025;6.0;0.8818181818181818;0.8333333333333334
4;0.025;6.0;0.9;0.6666666666666666
5;0.025;6.0;0.8727272727272727;0.9166666666666666
6;0.025;6.0;0.8727272727272727;0.9166666666666666
7;0.025;6.0;0.8727272727272727;0.9166666666666666
8;0.025;6.0;0.8727272727272727;0.9166666666666666
9;0.025;6.0;0.8727272727272727;0.9166666666666666
10;0.025;6.0;0.8818181818181818;0.8333333333333334
1;0.01;11.0;0.944954128440367;1.0
2;0.01;10.0;0.926605504587156;0.9230769230769231
3;0.01;9.0;0.9454545454545454;0.8333333333333334
4;0.01;9.0;0.9545454545454546;0.75
5;0.01;9.0;0.9272727272727272;1.0
6;0.01;9.0;0.9363636363636364;0.9166666666666666
7;0.01;11.0;0.9545454545454546;0.8333333333333334
8;0.01;8.0;0.9;0.75
9;0.01;13.0;0.9636363636363636;0.9166666666666666
10;0.01;9.0;0.9363636363636364;0.9166666666666666
1;0.005;16.0;0.9724770642201835;1.0
2;0.005;16.0;0.9724770642201835;1.0
3;0.005;14.0;0.9818181818181818;0.8333333333333334
4;0.005;14.0;0.9727272727272728;0.75
5;0.005;16.0;0.9727272727272728;1.0
6;0.005;18.0;0.9818181818181818;0.9166666666666666
7;0.005;13.0;0.9636363636363636;0.8333333333333334
8;0.005;20.0;0.9818181818181818;0.9166666666666666
9;0.005;15.0;0.9727272727272728;0.9166666666666666
10;0.005;18.0;0.9818181818181818;0.8333333333333334
