fold;lamb;nleaves;trainaccu_CART;testaccu_CART;totaltime;time_c;leaves_c
1;0.1;2.0;0.7297297297297297;0.7692307692307693;0.01314091682434082;0.010584831237792969;NA
2;0.1;2.0;0.7567567567567568;0.5384615384615384;0.008646011352539062;0.006891012191772461;NA
3;0.1;2.0;0.7387387387387387;0.6923076923076923;0.008421897888183594;0.0065441131591796875;NA
4;0.1;2;0.7207207207207207;0.8461538461538461;0.007788896560668945;0.006114959716796875;[(-1,), (1,)]
5;0.1;2.0;0.7410714285714286;0.6666666666666666;0.008517980575561523;0.006844043731689453;NA
6;0.1;2.0;0.7232142857142857;0.8333333333333334;0.008790731430053711;0.007057905197143555;NA
7;0.1;2;0.7321428571428572;0.75;0.012978076934814453;0.011085987091064453;[(-1,), (1,)]
8;0.1;2;0.7321428571428572;0.75;0.009873151779174805;0.007742166519165039;[(-1,), (1,)]
9;0.1;2.0;0.7232142857142857;0.8333333333333334;0.00908207893371582;0.007407188415527344;NA
10;0.1;2.0;0.7410714285714286;0.6666666666666666;0.008539915084838867;0.006904125213623047;NA
1;0.05;5;0.9009009009009009;1.0;0.2333371639251709;0.05823206901550293;[(1,), (-7, -2, -1), (-7, -1, 2), (-2, -1, 7), (-1, 2, 7)]
2;0.05;5;0.9099099099099099;0.9230769230769231;0.18896198272705078;0.04176497459411621;[(1,), (-8, -2, -1), (-8, -1, 2), (-2, -1, 8), (-1, 2, 8)]
3;0.05;5;0.9009009009009009;1.0;0.21153616905212402;0.026827096939086914;[(1,), (-7, -2, -1), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7)]
4;0.05;5;0.9099099099099099;0.9230769230769231;0.22238421440124512;0.034559011459350586;[(1,), (-8, -2, -1), (-2, -1, 8), (-8, -1, 2), (-1, 2, 8)]
5;0.05;5;0.9017857142857143;1.0;0.2069249153137207;0.023700237274169922;[(1,), (-9, -2, -1), (-9, -1, 2), (-2, -1, 9), (-1, 2, 9)]
6;0.05;5;0.9107142857142857;0.9166666666666666;0.21872782707214355;0.03164792060852051;[(1,), (-7, -2, -1), (-7, -1, 2), (-2, -1, 7), (-1, 2, 7)]
7;0.05;5;0.9285714285714286;0.75;0.1845262050628662;0.05035805702209473;[(1,), (-8, -2, -1), (-8, -1, 2), (-2, -1, 8), (-1, 2, 8)]
8;0.05;5;0.9285714285714286;0.75;0.2149219512939453;0.043441057205200195;[(1,), (-7, -2, -1), (-2, -1, 7), (-7, -1, 2), (-1, 2, 7)]
9;0.05;5;0.9107142857142857;0.9166666666666666;0.23098397254943848;0.013922691345214844;[(1,), (-7, -2, -1), (-7, -1, 2), (-2, -1, 7), (-1, 2, 7)]
10;0.05;5;0.9107142857142857;0.9166666666666666;0.21412396430969238;0.02202916145324707;[(1,), (-6, -2, -1), (-2, -1, 6), (-6, -1, 2), (-1, 2, 6)]
1;0.025;7;0.954954954954955;1.0;53.486526012420654;0.23866891860961914;[(1,), (-2, -1, 7), (-1, 2, 7), (-10, -7, -2, -1), (-10, -7, -1, 2), (-9, -7, -1, 10), (-7, -1, 9, 10)]
2;0.025;8;1.0;1.0;35.45288610458374;0.17378616333007812;[(1,), (-10, -1, 11), (-11, -1, 10), (-1, 10, 11), (-11, -10, -8, -2, -1), (-11, -10, -2, -1, 8), (-11, -10, -8, -1, 2), (-11, -10, -1, 2, 8)]
3;0.025;8;1.0;1.0;35.460389137268066;0.15794610977172852;[(1,), (-11, -1, 10), (-10, -1, 11), (-1, 10, 11), (-11, -10, -7, -2, -1), (-11, -10, -2, -1, 7), (-11, -10, -7, -1, 2), (-11, -10, -1, 2, 7)]
4;0.025;8;1.0;1.0;38.34024715423584;0.2236628532409668;[(1,), (-9, -1, 10), (-10, -1, 9), (-1, 9, 10), (-10, -9, -8, -2, -1), (-10, -9, -2, -1, 8), (-10, -9, -8, -1, 2), (-10, -9, -1, 2, 8)]
5;0.025;8;1.0;1.0;39.14859199523926;0.11444211006164551;[(1,), (-11, -1, 10), (-10, -1, 11), (-1, 10, 11), (-11, -10, -9, -2, -1), (-11, -10, -2, -1, 9), (-11, -10, -9, -1, 2), (-11, -10, -1, 2, 9)]
6;0.025;8;1.0;1.0;39.0007700920105;0.19345784187316895;[(1,), (-10, -1, 9), (-9, -1, 10), (-1, 9, 10), (-10, -9, -7, -2, -1), (-10, -9, -2, -1, 7), (-10, -9, -7, -1, 2), (-10, -9, -1, 2, 7)]
7;0.025;5;0.9285714285714286;0.75;0.8348150253295898;0.24583697319030762;[(1,), (-8, -2, -1), (-8, -1, 2), (-2, -1, 8), (-1, 2, 8)]
8;0.025;5;0.9285714285714286;0.75;0.6367659568786621;0.011811017990112305;[(1,), (-7, -2, -1), (-7, -1, 2), (-2, -1, 7), (-1, 2, 7)]
9;0.025;8;1.0;1.0;43.3057017326355;0.19576191902160645;[(1,), (-10, -1, 9), (-9, -1, 10), (-1, 9, 10), (-10, -9, -7, -2, -1), (-10, -9, -2, -1, 7), (-10, -9, -7, -1, 2), (-10, -9, -1, 2, 7)]
10;0.025;8;1.0;1.0;37.3965368270874;0.17973780632019043;[(1,), (-11, -1, 9), (-9, -1, 11), (-1, 9, 11), (-11, -9, -6, -2, -1), (-11, -9, -2, -1, 6), (-11, -9, -6, -1, 2), (-11, -9, -1, 2, 6)]
