fold;lamb;nleaves;trainaccu_CART;testaccu_CART;totaltime;time_c;leaves_c
1;0.1;1.0;0.6496519721577726;0.6875;0.09657883644104004;0.09447884559631348;NA
2;0.1;1.0;0.648491879350348;0.6979166666666666;0.09094500541687012;0.08909010887145996;NA
3;0.1;1.0;0.654292343387471;0.6458333333333334;0.08645296096801758;0.08472704887390137;NA
4;0.1;1.0;0.6577726218097448;0.6145833333333334;0.0852348804473877;0.0834507942199707;NA
5;0.1;1.0;0.6473317865429234;0.7083333333333334;0.08635282516479492;0.0844419002532959;NA
6;0.1;1.0;0.6566125290023201;0.625;0.08736681938171387;0.08497977256774902;NA
7;0.1;1.0;0.6508120649651972;0.6770833333333334;0.08974599838256836;0.08793091773986816;NA
8;0.1;1.0;0.6554524361948956;0.6354166666666666;0.09379887580871582;0.09199213981628418;NA
9;0.1;1.0;0.6628041714947857;0.5684210526315789;0.09032821655273438;0.08865213394165039;NA
10;0.1;1.0;0.6512166859791425;0.6736842105263158;0.08851504325866699;0.0867772102355957;NA
1;0.05;2.0;0.6937354988399071;0.75;1.5317049026489258;0.09142088890075684;NA
2;0.05;1.0;0.648491879350348;0.6979166666666666;1.1188151836395264;0.08703923225402832;NA
3;0.05;2.0;0.7099767981438515;0.6041666666666666;1.0126731395721436;0.08906388282775879;NA
4;0.05;2.0;0.7053364269141531;0.6458333333333334;1.0323450565338135;0.08076620101928711;NA
5;0.05;2.0;0.7018561484918794;0.6770833333333334;1.0848162174224854;0.0821371078491211;NA
6;0.05;1.0;0.6566125290023201;0.625;0.9788029193878174;0.08204793930053711;NA
7;0.05;2.0;0.697215777262181;0.71875;1.1055200099945068;0.08325505256652832;NA
8;0.05;2.0;0.7064965197215777;0.6354166666666666;1.0540616512298584;0.08157896995544434;NA
9;0.05;2.0;0.6987253765932793;0.7052631578947368;1.646191120147705;0.08253216743469238;NA
10;0.05;2.0;0.697566628041715;0.7157894736842105;1.0780138969421387;0.08537507057189941;NA
1;0.025;4;0.7482598607888631;0.7604166666666666;1800.0000030994415;1.2401559352874756;[(2,), (-2, 11), (-11, -9, -2), (-11, -2, 9)]
2;0.025;6;0.7981438515081207;0.8333333333333334;1800.0001287460327;1.0986146926879883;[(2,), (-14, -7, -2), (-14, -2, 7), (-2, 10, 14), (-10, -9, -2, 14), (-10, -2, 9, 14)]
3;0.025;2.0;0.7099767981438515;0.6041666666666666;1800.0000019073486;0.09659385681152344;NA
4;0.025;6;0.8132250580046404;0.6979166666666666;1800.0000441074371;0.764988899230957;[(2,), (-12, -11, -2), (-11, -2, 12), (-2, 10, 11), (-10, -7, -2, 11), (-10, -2, 7, 11)]
5;0.025;2.0;0.7018561484918794;0.6770833333333334;1800.0001430511475;0.08288311958312988;NA
6;0.025;6;0.8074245939675174;0.75;1800.0006461143494;0.42923712730407715;[(2,), (-10, -9, -2), (-9, -2, 10), (-2, 9, 14), (-14, -11, -2, 9), (-14, -2, 9, 11)]
7;0.025;4;0.7482598607888631;0.7604166666666666;1800.0001533031464;1.1293272972106934;[(2,), (-2, 9), (-11, -9, -2), (-9, -2, 11)]
8;0.025;2;0.7064965197215778;0.6354166666666666;1800.0000188350677;0.08499979972839355;[(-1,), (1,)]
9;0.025;6;0.8111239860950173;0.7157894736842105;1800.0004830360413;0.6253869533538818;[(2,), (-14, -10, -2), (-10, -2, 14), (-2, 8, 10), (-13, -8, -2, 10), (-8, -2, 10, 13)]
10;0.025;2.0;0.697566628041715;0.7157894736842105;1800.0001139640808;0.08355093002319336;NA
1;0.01;10;0.8480278422273781;0.8125;1800.0000660419464;756.150288105011;[(2,), (-12, -10, -2), (-11, -9, -2, 12), (-9, -2, 11, 12), (-14, -2, 9, 12), (-2, 9, 12, 14), (-13, -12, -9, -2, 10), (-13, -12, -2, 9, 10), (-12, -11, -2, 10, 13), (-12, -2, 10, 11, 13)]
2;0.01;9;0.834106728538283;0.8541666666666666;1800.0002419948578;0.7259666919708252;[(2,), (-10, -9, -2), (-2, 7, 10), (-10, -2, 7, 9), (-14, -7, -2, 10), (-14, -10, -7, -2, 9), (-10, -7, -2, 9, 14), (-12, -7, -2, 10, 14), (-7, -2, 10, 12, 14)]
3;0.01;9;0.8364269141531322;0.84375;1800.0007331371307;998.0928411483765;[(2,), (-10, -9, -2), (-9, -2, 10, 12), (-13, -12, -2, 9), (-12, -2, 9, 13), (-8, -2, 9, 12), (-2, 8, 9, 12), (-13, -12, -9, -2, 10), (-12, -9, -2, 10, 13)]
4;0.01;8;0.839907192575406;0.7291666666666666;1800.000449180603;0.6770162582397461;[(2,), (-10, -7, -2), (-2, 10, 11), (-10, -2, 7, 12), (-12, -11, -2, 10), (-11, -2, 10, 12), (-12, -11, -10, -2, 7), (-12, -10, -2, 7, 11)]
5;0.01;9;0.8375870069605569;0.8333333333333334;1800.0003378391266;1551.0830800533295;[(2,), (-13, -9, -2), (-9, -2, 12, 13), (-12, -10, -2, 9), (-10, -2, 9, 12), (-11, -2, 9, 10), (-2, 9, 10, 11), (-12, -10, -9, -2, 13), (-12, -9, -2, 10, 13)]
6;0.01;9;0.8410672853828307;0.7916666666666666;1800.0001010894775;654.4349019527435;[(2,), (-14, -11, -2), (-2, 9, 11), (-10, -9, -2, 11), (-9, -2, 10, 11), (-11, -10, -8, -2, 14), (-11, -8, -2, 10, 14), (-11, -9, -2, 8, 14), (-11, -2, 8, 9, 14)]
7;0.01;9;0.8364269141531322;0.84375;1800.0006310939789;750.0108938217163;[(2,), (-11, -9, -2), (-11, -2, 9, 10), (-14, -10, -2, 11), (-14, -2, 10, 11), (-7, -2, 11, 14), (-2, 7, 11, 14), (-14, -11, -10, -2, 9), (-11, -10, -2, 9, 14)]
8;0.01;10;0.8549883990719258;0.7395833333333334;1800.0023109912872;350.7501618862152;[(2,), (-12, -10, -2), (-2, 10, 13), (-13, -11, -2, 10), (-11, -10, -8, -2, 12), (-10, -8, -2, 11, 12), (-13, -10, -2, 8, 12), (-10, -2, 8, 12, 13), (-14, -13, -2, 10, 11), (-13, -2, 10, 11, 14)]
9;0.01;8;0.8377752027809966;0.7473684210526316;1800.0002119541168;0.9754009246826172;[(2,), (-13, -8, -2), (-2, 10, 13), (-13, -2, 8, 10), (-14, -10, -2, 13), (-10, -2, 13, 14), (-14, -13, -10, -2, 8), (-13, -10, -2, 8, 14)]
10;0.01;10;0.8493626882966396;0.8;1800.0002689361572;520.0166051387787;[(2,), (-10, -7, -2), (-15, -14, -2, 10), (-15, -2, 10, 14), (-11, -2, 10, 15), (-2, 10, 11, 15), (-14, -10, -8, -2, 7), (-10, -8, -2, 7, 14), (-15, -10, -2, 7, 8), (-10, -2, 7, 8, 15)]
1;0.005;19.0;0.9269141531322506;0.9166666666666666;1800.0065579414368;0.0841820240020752;NA
2;0.005;22.0;0.9419953596287703;0.8854166666666666;1800.0031881332397;0.09027814865112305;NA
3;0.005;17;0.8747099767981439;0.8645833333333334;1800.0000138282776;414.66855788230896;[(2,), (-10, -2, 3), (-13, -12, -3, -2), (-3, -2, 13, 15), (-2, 3, 10, 12), (-13, -3, -2, 8, 12), (-13, -12, -2, 3, 10), (-13, -8, -7, -3, -2, 12), (-15, -12, -11, -3, -2, 13), (-15, -10, -3, -2, 11, 13), (-15, -3, -2, 10, 11, 13), (-12, -11, -2, 3, 10, 13), (-12, -2, 3, 10, 11, 13), (-13, -10, -8, -3, -2, 7, 12), (-13, -8, -3, -2, 7, 10, 12), (-15, -11, -8, -3, -2, 12, 13), (-15, -11, -3, -2, 8, 12, 13)]
4;0.005;20.0;0.9234338747099768;0.90625;1800.0017199516296;0.08672690391540527;NA
5;0.005;21.0;0.9280742459396751;0.9479166666666666;1800.000163078308;0.08667516708374023;NA
6;0.005;19.0;0.9245939675174014;0.9375;1800.0083529949188;0.08964896202087402;NA
7;0.005;19.0;0.9013921113689095;0.9375;1800.0008580684662;0.0957176685333252;NA
8;0.005;18.0;0.9211136890951276;0.90625;1800.0019130706787;0.0909428596496582;NA
9;0.005;19.0;0.9269988412514485;0.9157894736842105;1800.0035791397095;0.09835195541381836;NA
10;0.005;21.0;0.9269988412514485;0.9578947368421052;1800.0004608631134;0.10922384262084961;NA
1;0.0025;27.0;0.9582366589327146;0.9270833333333334;1800.0596709251404;0.0920403003692627;NA
2;0.0025;27.0;0.9582366589327146;0.8854166666666666;1800.010293006897;0.08533406257629395;NA
3;0.0025;21.0;0.9419953596287703;0.875;1800.0023028850555;0.08877992630004883;NA
4;0.0025;25.0;0.9524361948955916;0.9166666666666666;1800.003914117813;0.09635210037231445;NA
5;0.0025;29.0;0.95707656612529;0.9375;1800.0490550994873;0.09514331817626953;NA
6;0.0025;22.0;0.931554524361949;0.9375;1800.0022189617157;0.0914621353149414;NA
7;0.0025;31.0;0.9593967517401392;0.9583333333333334;1800.0016179084778;0.09790778160095215;NA
8;0.0025;23.0;0.9466357308584686;0.8958333333333334;1800.002711057663;0.08846902847290039;NA
9;0.0025;25.0;0.9466975666280417;0.9578947368421052;1800.0014171600342;0.10289406776428223;NA
10;0.0025;26.0;0.9536500579374276;0.9578947368421052;1800.0070810317993;0.09676408767700195;NA
