CMDLINE /usr/bin/python3 test_memory.py
MEM 1.796875 1544226612.0956
MEM 22.835938 1544226612.1960
MEM 34.308594 1544226612.2963
MEM 50.578125 1544226612.3966
MEM 58.625000 1544226612.4969
MEM 58.625000 1544226612.5971
MEM 58.757812 1544226612.6974
MEM 58.757812 1544226612.7976
MEM 58.757812 1544226612.8978
MEM 58.757812 1544226612.9981
MEM 58.757812 1544226613.0985
MEM 58.757812 1544226613.1987
MEM 58.757812 1544226613.2989
MEM 58.757812 1544226613.3992
MEM 58.757812 1544226613.4995
MEM 58.757812 1544226613.5997
MEM 58.757812 1544226613.7000
MEM 58.757812 1544226613.8002
MEM 58.757812 1544226613.9004
MEM 58.757812 1544226614.0007
MEM 58.757812 1544226614.1009
MEM 58.757812 1544226614.2011
MEM 58.757812 1544226614.3013
MEM 58.757812 1544226614.4015
MEM 58.757812 1544226614.5018
MEM 58.757812 1544226614.6020
MEM 58.757812 1544226614.7023
MEM 58.757812 1544226614.8025
MEM 58.757812 1544226614.9027
MEM 58.757812 1544226615.0030
MEM 58.757812 1544226615.1031
MEM 58.757812 1544226615.2032
MEM 58.757812 1544226615.3034
MEM 58.757812 1544226615.4037
MEM 58.757812 1544226615.5038
MEM 58.757812 1544226615.6039
MEM 58.757812 1544226615.7042
MEM 59.007812 1544226615.8043
MEM 59.007812 1544226615.9044
MEM 59.007812 1544226616.0046
MEM 59.007812 1544226616.1049
MEM 59.007812 1544226616.2050
MEM 59.007812 1544226616.3052
MEM 59.007812 1544226616.4053
MEM 59.007812 1544226616.5055
MEM 59.007812 1544226616.6057
MEM 59.007812 1544226616.7058
MEM 59.007812 1544226616.8059
MEM 59.007812 1544226616.9060
MEM 59.007812 1544226617.0061
MEM 59.257812 1544226617.1062
MEM 59.300781 1544226617.2065
MEM 59.300781 1544226617.3066
MEM 59.300781 1544226617.4067
MEM 59.300781 1544226617.5068
MEM 59.300781 1544226617.6070
MEM 59.300781 1544226617.7072
MEM 59.300781 1544226617.8073
MEM 59.300781 1544226617.9075
