fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.923076923077;0.918660287081
1;2;4;0.923076923077;0.918660287081
1;3;8;0.923076923077;0.918660287081
1;4;16;0.925480769231;0.918660287081
1;5;32;0.935096153846;0.904306220096
2;1;2;0.918465227818;0.927884615385
2;2;4;0.918465227818;0.927884615385
2;3;8;0.918465227818;0.927884615385
2;4;16;0.923261390887;0.913461538462
2;5;32;0.920863309353;0.913461538462
3;1;2;0.923261390887;0.918269230769
3;2;4;0.923261390887;0.918269230769
3;3;8;0.923261390887;0.918269230769
3;4;16;0.925659472422;0.918269230769
3;5;32;0.930455635492;0.908653846154
