fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.723090277778;0.692708333333
1;2;4;0.855034722222;0.855902777778
1;3;8;0.8828125;0.845486111111
1;4;16;0.8828125;0.845486111111
1;5;32;0.901909722222;0.869791666667
2;1;2;0.713541666667;0.711805555556
2;2;4;0.853298611111;0.859375
2;3;8;0.862847222222;0.871527777778
2;4;16;0.873263888889;0.878472222222
2;5;32;0.870659722222;0.862847222222
3;1;2;0.704861111111;0.690972222222
3;2;4;0.857638888889;0.850694444444
3;3;8;0.871527777778;0.868055555556
3;4;16;0.893229166667;0.887152777778
3;5;32;0.894965277778;0.883680555556
