fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.641833188532;0.633087277464
1;2;4;0.663987836664;0.656100738168
1;3;8;0.673327541268;0.66652192792
1;4;16;0.674413553432;0.667390360399
1;5;32;0.675499565595;0.662613981763
2;1;2;0.636916395223;0.642919200695
2;2;4;0.661889250814;0.6629018245
2;3;8;0.669923995657;0.667245873154
2;4;16;0.673615635179;0.670721112076
2;5;32;0.676221498371;0.667245873154
3;1;2;0.638002171553;0.640747176368
3;2;4;0.662540716612;0.661598609904
3;3;8;0.670141150923;0.665508253692
3;4;16;0.674049945711;0.667680278019
3;5;32;0.675570032573;0.665942658558
