fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.701090074584;0.695153427015
1;2;4;0.708691910499;0.698021221681
1;3;8;0.70983935743;0.70060223688
1;4;16;0.711130235227;0.702609693146
1;5;32;0.711703958692;0.70060223688
2;1;2;0.700846120751;0.695639701664
2;2;4;0.70729958411;0.700803212851
2;3;8;0.710598020938;0.700516351119
2;4;16;0.71188871361;0.703098106713
2;5;32;0.71461350925;0.701376936317
3;1;2;0.695396529471;0.706540447504
3;2;4;0.701132941345;0.7082616179
3;3;8;0.703427506095;0.7082616179
3;4;16;0.704861609064;0.707401032702
3;5;32;0.705148429657;0.70711417097
