fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.642857142857;0.578947368421
1;2;4;0.705357142857;0.578947368421
1;3;8;0.803571428571;0.578947368421
1;4;16;0.866071428571;0.649122807018
1;5;32;0.955357142857;0.736842105263
2;1;2;0.610619469027;0.642857142857
2;2;4;0.663716814159;0.553571428571
2;3;8;0.769911504425;0.732142857143
2;4;16;0.840707964602;0.660714285714
2;5;32;0.911504424779;0.660714285714
3;1;2;0.646017699115;0.571428571429
3;2;4;0.699115044248;0.517857142857
3;3;8;0.769911504425;0.625
3;4;16;0.858407079646;0.625
3;5;32;0.87610619469;0.660714285714
