fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.69592476489;0.70625
1;2;4;0.706896551724;0.703125
1;3;8;0.777429467085;0.76875
1;4;16;0.844827586207;0.834375
1;5;32;0.896551724138;0.828125
2;1;2;0.70579029734;0.686520376176
2;2;4;0.715179968701;0.686520376176
2;3;8;0.769953051643;0.717868338558
2;4;16;0.854460093897;0.815047021944
2;5;32;0.910798122066;0.880877742947
3;1;2;0.696400625978;0.705329153605
3;2;4;0.713615023474;0.64263322884
3;3;8;0.780907668232;0.71473354232
3;4;16;0.846635367762;0.827586206897
3;5;32;0.895148669797;0.852664576803
