fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.9230769230769231;0.9186602870813397
2;0.1;1.0;0.9184652278177458;0.9278846153846154
3;0.1;1.0;0.9232613908872902;0.9182692307692307
1;0.05;1.0;0.9230769230769231;0.9186602870813397
2;0.05;1.0;0.9184652278177458;0.9278846153846154
3;0.05;1.0;0.9232613908872902;0.9182692307692307
1;0.025;1.0;0.9230769230769231;0.9186602870813397
2;0.025;1.0;0.9184652278177458;0.9278846153846154
3;0.025;1.0;0.9232613908872902;0.9182692307692307
1;0.01;1.0;0.9230769230769231;0.9186602870813397
2;0.01;1.0;0.9184652278177458;0.9278846153846154
3;0.01;1.0;0.9232613908872902;0.9182692307692307
1;0.005;1.0;0.9230769230769231;0.9186602870813397
2;0.005;1.0;0.9184652278177458;0.9278846153846154
3;0.005;1.0;0.9232613908872902;0.9182692307692307
1;0.0025;1.0;0.9230769230769231;0.9186602870813397
2;0.0025;1.0;0.9184652278177458;0.9278846153846154
3;0.0025;1.0;0.9232613908872902;0.9182692307692307
1;0.001;1.0;0.9230769230769231;0.9186602870813397
2;0.001;1.0;0.9184652278177458;0.9278846153846154
3;0.001;1.0;0.9232613908872902;0.9182692307692307
