fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.6428571428571429;0.5789473684210527
2;0.1;1.0;0.6106194690265486;0.6428571428571429
3;0.1;1.0;0.6106194690265486;0.6428571428571429
1;0.05;1.0;0.6428571428571429;0.5789473684210527
2;0.05;1.0;0.6106194690265486;0.6428571428571429
3;0.05;1.0;0.6106194690265486;0.6428571428571429
1;0.025;1.0;0.6428571428571429;0.5789473684210527
2;0.025;1.0;0.6106194690265486;0.6428571428571429
3;0.025;1.0;0.6106194690265486;0.6428571428571429
1;0.01;5.0;0.6875;0.5614035087719298
2;0.01;1.0;0.6106194690265486;0.6428571428571429
3;0.01;4.0;0.6460176991150443;0.5714285714285714
1;0.005;23.0;0.875;0.5263157894736842
2;0.005;21.0;0.8141592920353983;0.5714285714285714
3;0.005;29.0;0.911504424778761;0.6607142857142857
1;0.0025;28.0;0.9017857142857143;0.5614035087719298
2;0.0025;31.0;0.9203539823008849;0.5535714285714286
3;0.0025;34.0;0.9203539823008849;0.6428571428571429
1;0.001;29.0;0.8928571428571429;0.543859649122807
2;0.001;35.0;0.9292035398230089;0.5892857142857143
3;0.001;33.0;0.9203539823008849;0.6607142857142857
