fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.6473354231974922;0.665625
2;0.1;1.0;0.647887323943662;0.664576802507837
3;0.1;1.0;0.6651017214397497;0.6300940438871473
1;0.05;2.0;0.6959247648902821;0.70625
2;0.05;2.0;0.7057902973395931;0.6865203761755486
3;0.05;1.0;0.6651017214397497;0.6300940438871473
1;0.025;2.0;0.6959247648902821;0.70625
2;0.025;2.0;0.7057902973395931;0.6865203761755486
3;0.025;2.0;0.6964006259780907;0.7053291536050157
1;0.01;4.0;0.6959247648902821;0.70625
2;0.01;2.0;0.7057902973395931;0.6865203761755486
3;0.01;8.0;0.7636932707355243;0.768025078369906
1;0.005;23.0;0.9529780564263323;0.934375
2;0.005;19.0;0.9123630672926447;0.9028213166144201
3;0.005;20.0;0.9374021909233177;0.9623824451410659
1;0.0025;27.0;0.9655172413793104;0.934375
2;0.0025;27.0;0.9436619718309859;0.9090909090909091
3;0.0025;23.0;0.945226917057903;0.9623824451410659
1;0.001;30.0;0.9670846394984326;0.93125
2;0.001;35.0;0.9577464788732394;0.9247648902821317
3;0.001;35.0;0.9561815336463224;0.9592476489028213
