fold;lamb;nleaves;trainaccu_CART;testaccu_CART;totaltime;time_c;leaves_c
1;0.1;1;0.7039930555555556;0.6927083333333334;0.0749361515045166;0;[()]
2;0.1;1;0.6918402777777778;0.7170138888888888;0.2133331298828125;0;[()]
3;0.1;1;0.704861111111111;0.6909722222222222;0.07978177070617676;0;[()]
1;0.05;3;0.8550347222222222;0.8559027777777778;1.3167901039123535;0.08762001991271973;[(1,), (-2, -1), (-1, 2)]
2;0.05;3;0.8532986111111112;0.859375;1.2926561832427979;0.08302116394042969;[(1,), (-2, -1), (-1, 2)]
3;0.05;3;0.8576388888888888;0.8506944444444444;1.2942659854888916;0.08295583724975586;[(1,), (-2, -1), (-1, 2)]
1;0.025;3;0.8550347222222222;0.8559027777777778;293.7825310230255;0.08103704452514648;[(1,), (-2, -1), (-1, 2)]
2;0.025;3;0.8532986111111112;0.859375;361.1512870788574;0.08250808715820312;[(1,), (-2, -1), (-1, 2)]
3;0.025;3;0.8576388888888888;0.8506944444444444;210.23228788375854;0.08072400093078613;[(1,), (-2, -1), (-1, 2)]
1;0.01;6;0.9019097222222222;0.8697916666666666;600.0000050067902;25.196686029434204;[(1,), (-1, 2), (-2, -1, 5), (-5, -2, -1, 6), (-6, -5, -3, -2, -1), (-6, -5, -2, -1, 3)]
2;0.01;6;0.9010416666666667;0.8888888888888888;600.0001080036163;12.64343810081482;[(2,), (-2, 1), (-2, -1, 6), (-6, -2, -1, 5), (-7, -6, -5, -2, -1), (-6, -5, -2, -1, 7)]
3;0.01;6;0.9079861111111112;0.875;600.0002000331879;13.782423973083496;[(2,), (-2, 1), (-2, -1, 6), (-6, -2, -1, 5), (-7, -6, -5, -2, -1), (-6, -5, -2, -1, 7)]
1;0.005;7;0.9019097222222222;0.8697916666666666;600.0012402534485;513.951669216156;[(1,), (-1, 2), (-2, -1, 6), (-6, -5, -3, -2, -1), (-6, -3, -2, -1, 5), (-6, -5, -2, -1, 3), (-6, -2, -1, 3, 5)]
2;0.005;7;0.9010416666666667;0.8888888888888888;600.0011723041534;565.5043561458588;[(1,), (-1, 2), (-2, -1, 5), (-7, -6, -5, -2, -1), (-6, -5, -2, -1, 7), (-7, -5, -2, -1, 6), (-5, -2, -1, 6, 7)]
3;0.005;7;0.9079861111111112;0.875;600.0002031326294;258.36175203323364;[(2,), (-2, 1), (-2, -1, 5), (-7, -6, -5, -2, -1), (-7, -5, -2, -1, 6), (-10, -5, -2, -1, 7), (-5, -2, -1, 7, 10)]
1;0.0025;9;0.9019097222222222;0.8697916666666666;600.0008361339569;207.53845191001892;[(1,), (-1, 2), (-2, -1, 5, 7), (-6, -5, -3, -2, -1), (-5, -3, -2, -1, 6), (-5, -4, -2, -1, 3), (-5, -2, -1, 3, 4), (-7, -4, -2, -1, 5), (-7, -2, -1, 4, 5)]
2;0.0025;9;0.9010416666666667;0.8888888888888888;600.000864982605;156.84874629974365;[(2,), (-2, 1), (-2, -1, 6, 8), (-7, -6, -5, -2, -1), (-7, -6, -2, -1, 5), (-6, -3, -2, -1, 7), (-6, -2, -1, 3, 7), (-8, -7, -2, -1, 6), (-8, -2, -1, 6, 7)]
3;0.0025;9;0.9079861111111112;0.875;600.0013172626495;189.03318524360657;[(1,), (-1, 2), (-2, -1, 7, 8), (-7, -6, -5, -2, -1), (-7, -6, -2, -1, 5), (-7, -4, -2, -1, 6), (-7, -2, -1, 4, 6), (-8, -5, -2, -1, 7), (-8, -2, -1, 5, 7)]
1;0.001;9;0.9019097222222222;0.8697916666666666;600.0006990432739;216.15865516662598;[(1,), (-1, 2), (-2, -1, 5, 7), (-6, -5, -3, -2, -1), (-5, -3, -2, -1, 6), (-5, -4, -2, -1, 3), (-5, -2, -1, 3, 4), (-7, -3, -2, -1, 5), (-7, -2, -1, 3, 5)]
2;0.001;9;0.9010416666666667;0.8888888888888888;600.0032680034637;168.30510115623474;[(2,), (-2, 1), (-2, -1, 6, 8), (-7, -6, -5, -2, -1), (-7, -6, -2, -1, 5), (-6, -3, -2, -1, 7), (-6, -2, -1, 3, 7), (-8, -3, -2, -1, 6), (-8, -2, -1, 3, 6)]
3;0.001;9;0.9079861111111112;0.875;600.0021829605103;209.68743300437927;[(1,), (-1, 2), (-2, -1, 7, 8), (-7, -6, -5, -2, -1), (-7, -6, -2, -1, 5), (-7, -4, -2, -1, 6), (-7, -2, -1, 4, 6), (-8, -3, -2, -1, 7), (-8, -2, -1, 3, 7)]
