fold;lamb;nleaves;trainaccu_CART;testaccu_CART;totaltime;time_c;leaves_c
1;0.1;1;0.6473354231974922;0.665625;0.0551450252532959;0;[()]
2;0.1;1;0.647887323943662;0.664576802507837;0.052622079849243164;0;[()]
3;0.1;1;0.6651017214397495;0.6300940438871473;0.05208706855773926;0;[()]
1;0.05;1;0.6473354231974922;0.665625;3.9425158500671387;0;[()]
2;0.05;2;0.7057902973395931;0.6865203761755486;2.0584218502044678;0.0039899349212646484;[(-1,), (1,)]
3;0.05;1;0.6651017214397497;0.6300940438871473;1.974452018737793;0;[()]
1;0.025;6;0.7962382445141066;0.8125;600.0013420581818;1.6553289890289307;[(2,), (-9, -6, -2), (-9, -2, 6), (-2, 7, 9), (-15, -7, -2, 9), (-7, -2, 9, 15)]
2;0.025;2;0.7057902973395931;0.6865203761755486;600.0003821849823;0.0043370723724365234;[(-1,), (1,)]
3;0.025;6;0.8059467918622848;0.7931034482758621;600.000048160553;1.5415370464324951;[(2,), (-16, -13, -2), (-16, -2, 13), (-2, 6, 16), (-14, -6, -2, 16), (-6, -2, 14, 16)]
1;0.01;9;0.8385579937304075;0.834375;600.0008971691132;96.25400304794312;[(2,), (-15, -7, -2), (-15, -2, 7, 9), (-9, -6, -2, 15), (-9, -2, 6, 15), (-16, -2, 9, 15), (-2, 9, 15, 16), (-15, -9, -6, -2, 7), (-15, -9, -2, 6, 7)]
2;0.01;10;0.8591549295774648;0.8119122257053292;600.0001459121704;46.584161043167114;[(2,), (-15, -13, -2), (-12, -8, -2, 13), (-8, -2, 12, 13), (-18, -2, 8, 13), (-2, 8, 13, 18), (-13, -12, -8, -2, 15), (-13, -12, -2, 8, 15), (-13, -9, -2, 12, 15), (-13, -2, 9, 12, 15)]
3;0.01;10;0.8607198748043818;0.8056426332288401;600.001179933548;520.6174342632294;[(2,), (-14, -6, -2), (-13, -7, -2, 14), (-7, -2, 13, 14), (-16, -2, 7, 14), (-2, 7, 14, 16), (-16, -14, -9, -2, 6), (-14, -9, -2, 6, 16), (-14, -13, -2, 6, 9), (-14, -2, 6, 9, 13)]
1;0.005;17;0.8761755485893417;0.85625;600.0000851154327;158.2740969657898;[(2,), (-6, -2, 3), (-15, -7, -3, -2), (-3, -2, 7, 10), (-7, -3, -2, 15, 16), (-12, -7, -2, 3, 6), (-12, -2, 3, 6, 7), (-15, -2, 3, 6, 12), (-2, 3, 6, 12, 15), (-16, -12, -7, -3, -2, 15), (-10, -8, -3, -2, 7, 18), (-10, -6, -3, -2, 7, 8), (-10, -3, -2, 6, 7, 8), (-16, -7, -6, -3, -2, 12, 15), (-16, -7, -3, -2, 6, 12, 15), (-18, -14, -10, -8, -3, -2, 7), (-18, -10, -8, -3, -2, 7, 14)]
