fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.711897106109;0.722543352601
1;2;4;0.853376205788;0.872832369942
1;3;8;0.87459807074;0.832369942197
1;4;16;0.895176848875;0.85549132948
2;1;2;0.71768488746;0.670520231214
2;2;4;0.855948553055;0.849710982659
2;3;8;0.873311897106;0.843930635838
2;4;16;0.895819935691;0.849710982659
3;1;2;0.714469453376;0.699421965318
3;2;4;0.855305466238;0.85549132948
3;3;8;0.870739549839;0.867052023121
3;4;16;0.870739549839;0.867052023121
4;1;2;0.71768488746;0.670520231214
4;2;4;0.857877813505;0.832369942197
4;3;8;0.866881028939;0.832369942197
4;4;16;0.871382636656;0.861271676301
5;1;2;0.713826366559;0.705202312139
5;2;4;0.854019292605;0.867052023121
5;3;8;0.867524115756;0.895953757225
5;4;16;0.890675241158;0.895953757225
6;1;2;0.712540192926;0.71676300578
6;2;4;0.854019292605;0.867052023121
6;3;8;0.868167202572;0.843930635838
6;4;16;0.87459807074;0.820809248555
7;1;2;0.711254019293;0.728323699422
7;2;4;0.857234726688;0.838150289017
7;3;8;0.868810289389;0.838150289017
7;4;16;0.870096463023;0.861271676301
8;1;2;0.711254019293;0.728323699422
8;2;4;0.852733118971;0.878612716763
8;3;8;0.870739549839;0.867052023121
8;4;16;0.873954983923;0.884393063584
9;1;2;0.705655526992;0.779069767442
9;2;4;0.854755784062;0.860465116279
9;3;8;0.868894601542;0.883720930233
9;4;16;0.868894601542;0.883720930233
10;1;2;0.713367609254;0.709302325581
10;2;4;0.857969151671;0.831395348837
10;3;8;0.870822622108;0.866279069767
10;4;16;0.875964010283;0.866279069767
