fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.635456885457;0.67004341534
1;2;4;0.660231660232;0.68017366136
1;3;8;0.669562419562;0.684515195369
1;4;16;0.671492921493;0.688856729378
2;1;2;0.640604890605;0.623733719247
2;2;4;0.660714285714;0.667149059334
2;3;8;0.67101029601;0.671490593343
2;4;16;0.673101673102;0.674384949349
3;1;2;0.643500643501;0.597684515195
3;2;4;0.666184041184;0.626628075253
3;3;8;0.673584298584;0.622286541245
3;4;16;0.67648005148;0.632416787265
4;1;2;0.637709137709;0.6497829233
4;2;4;0.65990990991;0.674384949349
4;3;8;0.670366795367;0.677279305355
4;4;16;0.671814671815;0.684515195369
5;1;2;0.638996138996;0.638205499276
5;2;4;0.664092664093;0.645441389291
5;3;8;0.670527670528;0.675832127352
5;4;16;0.672619047619;0.672937771346
6;1;2;0.639478764479;0.633863965268
6;2;4;0.664253539254;0.643994211288
6;3;8;0.673584298584;0.648335745297
6;4;16;0.675675675676;0.648335745297
7;1;2;0.635296010296;0.671490593343
7;2;4;0.65990990991;0.683068017366
7;3;8;0.669562419562;0.684515195369
7;4;16;0.671975546976;0.688856729378
8;1;2;0.636641466945;0.659420289855
8;2;4;0.660768859579;0.675362318841
8;3;8;0.6707415152;0.673913043478
8;4;16;0.671706610906;0.671014492754
9;1;2;0.638893356925;0.639130434783
9;2;4;0.663824995979;0.647826086957
9;3;8;0.669615570211;0.65652173913
9;4;16;0.671545761621;0.684057971014
10;1;2;0.642592890462;0.605797101449
10;2;4;0.665272639537;0.626086956522
10;3;8;0.672028309474;0.657971014493
10;4;16;0.675727843011;0.636231884058
