fold;depth;nleaves;trainaccu;testaccu
1;1;2;0.651376146789;0.846153846154
1;2;4;0.798165137615;0.615384615385
1;3;8;0.853211009174;0.923076923077
1;4;16;0.926605504587;0.923076923077
2;1;2;0.688073394495;0.538461538462
2;2;4;0.779816513761;0.769230769231
2;3;8;0.853211009174;0.923076923077
2;4;16;0.935779816514;0.923076923077
3;1;2;0.681818181818;0.583333333333
3;2;4;0.781818181818;0.75
3;3;8;0.863636363636;0.833333333333
3;4;16;0.927272727273;0.75
4;1;2;0.690909090909;0.5
4;2;4;0.8;0.583333333333
4;3;8;0.872727272727;0.583333333333
4;4;16;0.954545454545;0.583333333333
5;1;2;0.681818181818;0.583333333333
5;2;4;0.790909090909;0.583333333333
5;3;8;0.863636363636;0.833333333333
5;4;16;0.936363636364;0.916666666667
6;1;2;0.681818181818;0.583333333333
6;2;4;0.790909090909;0.666666666667
6;3;8;0.863636363636;0.833333333333
6;4;16;0.936363636364;0.833333333333
7;1;2;0.672727272727;0.666666666667
7;2;4;0.763636363636;0.916666666667
7;3;8;0.845454545455;1.0
7;4;16;0.918181818182;0.833333333333
8;1;2;0.654545454545;0.833333333333
8;2;4;0.772727272727;0.833333333333
8;3;8;0.863636363636;0.833333333333
8;4;16;0.927272727273;0.75
9;1;2;0.654545454545;0.833333333333
9;2;4;0.763636363636;0.916666666667
9;3;8;0.854545454545;0.916666666667
9;4;16;0.936363636364;0.75
10;1;2;0.663636363636;0.75
10;2;4;0.790909090909;0.666666666667
10;3;8;0.872727272727;0.75
10;4;16;0.936363636364;0.916666666667
