fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;2.0;0.7297297297297297;0.7692307692307693
2;0.1;2.0;0.7567567567567568;0.5384615384615384
3;0.1;2.0;0.7387387387387387;0.6923076923076923
4;0.1;2.0;0.7207207207207207;0.8461538461538461
5;0.1;2.0;0.7410714285714286;0.6666666666666666
6;0.1;2.0;0.7232142857142857;0.8333333333333334
7;0.1;2.0;0.7321428571428571;0.75
8;0.1;2.0;0.7321428571428571;0.75
9;0.1;2.0;0.7232142857142857;0.8333333333333334
10;0.1;2.0;0.7410714285714286;0.6666666666666666
1;0.05;2.0;0.7297297297297297;0.7692307692307693
2;0.05;2.0;0.7567567567567568;0.5384615384615384
3;0.05;2.0;0.7387387387387387;0.6923076923076923
4;0.05;2.0;0.7207207207207207;0.8461538461538461
5;0.05;2.0;0.7410714285714286;0.6666666666666666
6;0.05;2.0;0.7232142857142857;0.8333333333333334
7;0.05;2.0;0.7321428571428571;0.75
8;0.05;2.0;0.7321428571428571;0.75
9;0.05;2.0;0.7232142857142857;0.8333333333333334
10;0.05;2.0;0.7410714285714286;0.6666666666666666
1;0.025;2.0;0.7297297297297297;0.7692307692307693
2;0.025;2.0;0.7567567567567568;0.5384615384615384
3;0.025;2.0;0.7387387387387387;0.6923076923076923
4;0.025;2.0;0.7207207207207207;0.8461538461538461
5;0.025;2.0;0.7410714285714286;0.6666666666666666
6;0.025;2.0;0.7232142857142857;0.8333333333333334
7;0.025;2.0;0.7321428571428571;0.75
8;0.025;2.0;0.7321428571428571;0.75
9;0.025;2.0;0.7232142857142857;0.8333333333333334
10;0.025;2.0;0.7410714285714286;0.6666666666666666
