fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.1;1.0;0.6496519721577726;0.6875
2;0.1;1.0;0.648491879350348;0.6979166666666666
3;0.1;1.0;0.654292343387471;0.6458333333333334
4;0.1;1.0;0.6577726218097448;0.6145833333333334
5;0.1;1.0;0.6473317865429234;0.7083333333333334
6;0.1;1.0;0.6566125290023201;0.625
7;0.1;1.0;0.6508120649651972;0.6770833333333334
8;0.1;1.0;0.6554524361948956;0.6354166666666666
9;0.1;1.0;0.6628041714947857;0.5684210526315789
10;0.1;1.0;0.6512166859791425;0.6736842105263158
1;0.05;2.0;0.6937354988399071;0.75
2;0.05;1.0;0.648491879350348;0.6979166666666666
3;0.05;2.0;0.7099767981438515;0.6041666666666666
4;0.05;2.0;0.7053364269141531;0.6458333333333334
5;0.05;2.0;0.7018561484918794;0.6770833333333334
6;0.05;1.0;0.6566125290023201;0.625
7;0.05;2.0;0.697215777262181;0.71875
8;0.05;2.0;0.7064965197215777;0.6354166666666666
9;0.05;2.0;0.6987253765932793;0.7052631578947368
10;0.05;2.0;0.697566628041715;0.7157894736842105
1;0.025;2.0;0.6937354988399071;0.75
2;0.025;2.0;0.6902552204176334;0.78125
3;0.025;2.0;0.7099767981438515;0.6041666666666666
4;0.025;2.0;0.7053364269141531;0.6458333333333334
5;0.025;2.0;0.7018561484918794;0.6770833333333334
6;0.025;2.0;0.6925754060324826;0.7604166666666666
7;0.025;2.0;0.697215777262181;0.71875
8;0.025;2.0;0.7064965197215777;0.6354166666666666
9;0.025;2.0;0.6987253765932793;0.7052631578947368
10;0.025;2.0;0.697566628041715;0.7157894736842105
1;0.01;2.0;0.6937354988399071;0.75
2;0.01;8.0;0.7621809744779582;0.7916666666666666
3;0.01;2.0;0.7099767981438515;0.6041666666666666
4;0.01;2.0;0.7053364269141531;0.6458333333333334
5;0.01;2.0;0.7018561484918794;0.6770833333333334
6;0.01;2.0;0.6925754060324826;0.7604166666666666
7;0.01;2.0;0.697215777262181;0.71875
8;0.01;2.0;0.7064965197215777;0.6354166666666666
9;0.01;8.0;0.764774044032445;0.7684210526315789
10;0.01;8.0;0.7659327925840093;0.7578947368421053
1;0.005;19.0;0.9269141531322506;0.9166666666666666
2;0.005;20.0;0.9292343387470998;0.8958333333333334
3;0.005;12.0;0.8329466357308585;0.75
4;0.005;20.0;0.9234338747099768;0.90625
5;0.005;21.0;0.9280742459396751;0.9479166666666666
6;0.005;19.0;0.9245939675174014;0.9375
7;0.005;19.0;0.9013921113689095;0.9375
8;0.005;18.0;0.9211136890951276;0.90625
9;0.005;19.0;0.9269988412514485;0.9157894736842105
10;0.005;21.0;0.9269988412514485;0.9578947368421052
1;0.0025;27.0;0.9582366589327146;0.9270833333333334
2;0.0025;27.0;0.9582366589327146;0.8854166666666666
3;0.0025;21.0;0.9419953596287703;0.875
4;0.0025;25.0;0.9524361948955916;0.9166666666666666
5;0.0025;28.0;0.9535962877030162;0.9583333333333334
6;0.0025;22.0;0.9303944315545244;0.9375
7;0.0025;31.0;0.9593967517401392;0.9583333333333334
8;0.0025;23.0;0.9466357308584686;0.8958333333333334
9;0.0025;25.0;0.9466975666280417;0.9578947368421052
10;0.0025;26.0;0.9536500579374276;0.9578947368421052
