fold;lamb;nleaves;trainaccu_CART;testaccu_CART;totaltime;time_c;leaves_c
1;0.1;3;0.7981651376146789;0.6153846153846154;0.027135848999023438;0.01061701774597168;[(1,), (-2, -1), (-1, 2)]
2;0.1;2;0.6880733944954127;0.5384615384615384;0.026568889617919922;0.006118059158325195;[(-1,), (1,)]
3;0.1;2;0.6818181818181819;0.5833333333333334;0.014635086059570312;0.006657123565673828;[(-1,), (1,)]
4;0.1;3;0.8;0.5833333333333334;0.009759187698364258;0.007462263107299805;[(1,), (-4, -1), (-1, 4)]
5;0.1;2;0.6818181818181819;0.5833333333333334;0.015764951705932617;0.006752967834472656;[(-1,), (1,)]
6;0.1;2;0.6818181818181819;0.5833333333333334;0.01524662971496582;0.006415843963623047;[(-1,), (1,)]
7;0.1;2;0.6727272727272726;0.6666666666666666;0.01848602294921875;0.006829977035522461;[(-1,), (1,)]
8;0.1;3;0.7636363636363637;0.9166666666666666;0.024352073669433594;0.008996248245239258;[(1,), (-2, -1), (-1, 2)]
9;0.1;3;0.7636363636363637;0.9166666666666666;0.01810288429260254;0.008083820343017578;[(1,), (-4, -1), (-1, 4)]
10;0.1;3;0.7818181818181819;0.75;0.01939082145690918;0.008347034454345703;[(1,), (-2, -1), (-1, 2)]
1;0.025;3.0;0.7981651376146789;0.6153846153846154;1800.0001590251923;0.006565093994140625;NA
2;0.025;6.0;0.8715596330275229;0.9230769230769231;1646.4210858345032;0.005892038345336914;NA
3;0.025;6.0;0.8818181818181818;0.8333333333333334;1800.0008869171143;0.00598597526550293;NA
4;0.025;6.0;0.9;0.6666666666666666;1800.0001089572906;0.0058748722076416016;NA
5;0.025;6.0;0.8727272727272727;0.9166666666666666;1800.0003468990326;0.006047964096069336;NA
6;0.025;6.0;0.8727272727272727;0.9166666666666666;1800.000895023346;0.005940914154052734;NA
7;0.025;6.0;0.8727272727272727;0.9166666666666666;1800.0000622272491;0.00983119010925293;NA
8;0.025;6.0;0.8727272727272727;0.9166666666666666;1800.0006420612335;0.006324052810668945;NA
9;0.025;6.0;0.8727272727272727;0.9166666666666666;1800.0000019073486;0.005961179733276367;NA
10;0.025;6.0;0.8818181818181818;0.8333333333333334;1800.040307044983;0.0059511661529541016;NA
1;0.01;11.0;0.944954128440367;1.0;1800.0031490325928;0.006027936935424805;NA
2;0.01;10.0;0.926605504587156;0.9230769230769231;1800.000697851181;0.008198976516723633;NA
3;0.01;9.0;0.9454545454545454;0.8333333333333334;1800.0005989074707;0.009422779083251953;NA
4;0.01;9.0;0.9545454545454546;0.75;1800.0001661777496;0.006983757019042969;NA
5;0.01;9.0;0.9272727272727272;1.0;1800.001993894577;0.011664867401123047;NA
6;0.01;9.0;0.9363636363636364;0.9166666666666666;1800.0032968521118;0.009996891021728516;NA
7;0.01;11.0;0.9545454545454546;0.8333333333333334;1800.0006248950958;0.008921146392822266;NA
8;0.01;8.0;0.9;0.75;1800.0002160072327;0.00701904296875;NA
9;0.01;13.0;0.9636363636363636;0.9166666666666666;1800.000776052475;0.006692171096801758;NA
10;0.01;10.0;0.9272727272727272;0.8333333333333334;1800.000001192093;0.008685111999511719;NA
1;0.005;16.0;0.9724770642201835;1.0;1800.0126099586487;0.011122941970825195;NA
2;0.005;16.0;0.9724770642201835;1.0;1800.0000169277191;0.009984731674194336;NA
3;0.005;14.0;0.9818181818181818;0.8333333333333334;1879.936707019806;0.008041858673095703;NA
4;0.005;12;0.9727272727272728;0.6666666666666666;1800.0191123485565;101.64099216461182;[(2, 4), (-2, 1, 3), (-4, -1, 2), (-4, 1, 2), (-11, -4, -2, -1), (-2, -1, 3, 4), (-9, -3, -2, 1), (-3, -2, 1, 9), (-5, -4, -2, -1, 11), (-4, -2, -1, 5, 11), (-9, -3, -2, -1, 4), (-3, -2, -1, 4, 9)]
5;0.005;16.0;0.9727272727272728;1.0;1800.0184030532837;0.007395029067993164;NA
6;0.005;13;0.9636363636363636;0.9166666666666666;1800.0078790187836;866.8698198795319;[(2, 4), (-4, 1, 3), (-2, -1, 4), (-2, 1, 4), (-6, -4, -3, -1), (-6, -4, -3, 1), (-4, -3, 1, 6), (-6, -4, -2, -1, 3), (-6, -4, -1, 2, 3), (-10, -4, -2, -1, 6), (-10, -4, -1, 2, 6), (-8, -4, -1, 6, 10), (-4, -1, 6, 8, 10)]
7;0.005;13.0;0.9636363636363636;0.8333333333333334;1810.9256801605225;0.008011102676391602;NA
8;0.005;12;0.9454545454545454;1.0;1800.0011448860168;0.6911790370941162;[(-2, -1), (1, 4), (-1, 2, 4), (-4, 1, 3), (-4, -1, 2, 3), (-7, -4, -3, 1), (-7, -4, -3, -1, 2), (-4, -3, -1, 2, 7), (-11, -4, -3, 1, 7), (-4, -3, 1, 7, 10, 11), (-10, -6, -4, -3, 1, 7, 11), (-10, -4, -3, 1, 6, 7, 11)]
9;0.005;15.0;0.9727272727272728;0.9166666666666666;1800.0166652202606;0.009718179702758789;NA
10;0.005;18.0;0.9818181818181818;0.8333333333333334;1800.0008447170258;0.010199785232543945;NA
