CMDLINE /usr/bin/python3 test_memory.py
MEM 3.855469 1544228448.0222
MEM 22.824219 1544228448.1225
MEM 33.707031 1544228448.2229
MEM 50.253906 1544228448.3231
MEM 57.175781 1544228448.4233
MEM 57.800781 1544228448.5234
MEM 58.097656 1544228448.6235
MEM 58.097656 1544228448.7236
MEM 58.097656 1544228448.8239
MEM 58.097656 1544228448.9241
MEM 58.097656 1544228449.0243
MEM 58.097656 1544228449.1244
MEM 58.097656 1544228449.2245
MEM 58.097656 1544228449.3248
MEM 58.097656 1544228449.4249
MEM 58.097656 1544228449.5251
MEM 58.097656 1544228449.6252
MEM 58.097656 1544228449.7253
MEM 58.097656 1544228449.8254
MEM 58.097656 1544228449.9255
MEM 58.097656 1544228450.0256
MEM 58.097656 1544228450.1257
MEM 58.097656 1544228450.2258
MEM 58.097656 1544228450.3260
MEM 58.097656 1544228450.4261
MEM 58.097656 1544228450.5264
MEM 58.097656 1544228450.6267
MEM 58.097656 1544228450.7268
MEM 58.097656 1544228450.8269
MEM 58.097656 1544228450.9270
MEM 58.097656 1544228451.0271
MEM 58.097656 1544228451.1274
MEM 58.097656 1544228451.2275
MEM 58.097656 1544228451.3277
MEM 58.351562 1544228451.4278
MEM 58.351562 1544228451.5280
MEM 58.351562 1544228451.6282
MEM 58.453125 1544228451.7283
MEM 58.453125 1544228451.8284
MEM 58.453125 1544228451.9285
MEM 58.453125 1544228452.0286
MEM 58.453125 1544228452.1288
MEM 58.453125 1544228452.2289
MEM 58.453125 1544228452.3292
MEM 58.453125 1544228452.4293
MEM 58.453125 1544228452.5294
MEM 58.453125 1544228452.6297
MEM 58.707031 1544228452.7300
MEM 58.707031 1544228452.8303
MEM 58.769531 1544228452.9305
MEM 58.812500 1544228453.0307
MEM 58.816406 1544228453.1309
MEM 58.824219 1544228453.2310
MEM 58.828125 1544228453.3312
MEM 58.832031 1544228453.4313
MEM 58.832031 1544228453.5315
MEM 58.832031 1544228453.6318
MEM 58.832031 1544228453.7321
MEM 59.085938 1544228453.8323
MEM 59.085938 1544228453.9325
MEM 59.085938 1544228454.0328
MEM 59.085938 1544228454.1329
MEM 59.128906 1544228454.2331
MEM 59.140625 1544228454.3333
MEM 59.140625 1544228454.4335
MEM 59.148438 1544228454.5338
MEM 59.156250 1544228454.6340
MEM 59.164062 1544228454.7342
MEM 59.175781 1544228454.8344
MEM 59.183594 1544228454.9347
MEM 59.437500 1544228455.0348
MEM 59.460938 1544228455.1349
MEM 59.488281 1544228455.2351
MEM 59.742188 1544228455.3352
MEM 59.742188 1544228455.4353
MEM 59.742188 1544228455.5354
MEM 59.742188 1544228455.6356
MEM 59.789062 1544228455.7358
MEM 59.792969 1544228455.8359
MEM 59.792969 1544228455.9361
MEM 59.792969 1544228456.0365
MEM 59.808594 1544228456.1367
MEM 59.808594 1544228456.2368
MEM 59.816406 1544228456.3370
MEM 59.824219 1544228456.4371
MEM 59.828125 1544228456.5373
MEM 59.832031 1544228456.6375
MEM 59.832031 1544228456.7377
MEM 59.843750 1544228456.8378
MEM 59.851562 1544228456.9379
MEM 59.851562 1544228457.0380
MEM 59.859375 1544228457.1384
MEM 59.863281 1544228457.2385
MEM 59.867188 1544228457.3386
MEM 60.121094 1544228457.4388
MEM 60.175781 1544228457.5389
MEM 60.175781 1544228457.6390
MEM 60.175781 1544228457.7391
MEM 60.175781 1544228457.8392
MEM 60.175781 1544228457.9393
MEM 60.457031 1544228458.0395
MEM 60.500000 1544228458.1397
MEM 60.507812 1544228458.2401
MEM 60.507812 1544228458.3403
MEM 60.761719 1544228458.4406
MEM 60.785156 1544228458.5408
MEM 60.824219 1544228458.6410
MEM 61.078125 1544228458.7411
MEM 61.101562 1544228458.8412
MEM 61.148438 1544228458.9413
MEM 61.156250 1544228459.0414
MEM 61.156250 1544228459.1416
MEM 61.156250 1544228459.2417
MEM 61.421875 1544228459.3419
MEM 61.675781 1544228459.4421
MEM 61.742188 1544228459.5424
MEM 61.742188 1544228459.6427
MEM 61.996094 1544228459.7430
MEM 61.996094 1544228459.8432
MEM 62.355469 1544228459.9433
MEM 62.406250 1544228460.0434
MEM 62.417969 1544228460.1435
MEM 62.425781 1544228460.2436
MEM 62.457031 1544228460.3438
MEM 62.457031 1544228460.4439
MEM 62.710938 1544228460.5441
MEM 62.765625 1544228460.6443
MEM 63.679688 1544228460.7444
MEM 63.679688 1544228460.8445
MEM 63.679688 1544228460.9446
MEM 63.679688 1544228461.0448
MEM 63.679688 1544228461.1450
MEM 63.687500 1544228461.2451
MEM 63.710938 1544228461.3452
MEM 63.964844 1544228461.4453
MEM 64.003906 1544228461.5455
MEM 64.015625 1544228461.6457
MEM 64.023438 1544228461.7459
MEM 64.027344 1544228461.8460
MEM 64.031250 1544228461.9461
MEM 64.046875 1544228462.0463
MEM 64.046875 1544228462.1464
MEM 64.300781 1544228462.2465
MEM 64.382812 1544228462.3467
MEM 64.382812 1544228462.4470
MEM 64.382812 1544228462.5472
MEM 64.382812 1544228462.6474
MEM 64.382812 1544228462.7477
MEM 64.636719 1544228462.8479
MEM 64.636719 1544228462.9480
MEM 64.707031 1544228463.0482
MEM 64.707031 1544228463.1483
MEM 64.707031 1544228463.2485
MEM 64.707031 1544228463.3487
MEM 65.035156 1544228463.4488
MEM 65.035156 1544228463.5489
MEM 65.070312 1544228463.6491
MEM 65.093750 1544228463.7493
MEM 65.343750 1544228463.8496
MEM 65.394531 1544228463.9500
MEM 65.394531 1544228464.0502
MEM 65.394531 1544228464.1504
MEM 65.394531 1544228464.2507
MEM 65.699219 1544228464.3509
MEM 66.062500 1544228464.4511
MEM 66.062500 1544228464.5514
MEM 66.664062 1544228464.6515
MEM 66.671875 1544228464.7516
MEM 66.679688 1544228464.8517
MEM 66.683594 1544228464.9520
MEM 66.687500 1544228465.0522
MEM 66.695312 1544228465.1524
MEM 66.703125 1544228465.2525
MEM 66.707031 1544228465.3527
MEM 66.710938 1544228465.4528
MEM 66.714844 1544228465.5531
MEM 66.718750 1544228465.6532
MEM 66.722656 1544228465.7533
MEM 66.726562 1544228465.8534
MEM 66.730469 1544228465.9535
MEM 66.734375 1544228466.0537
MEM 66.734375 1544228466.1541
MEM 66.742188 1544228466.2542
MEM 66.746094 1544228466.3543
MEM 66.750000 1544228466.4544
MEM 66.753906 1544228466.5545
MEM 66.753906 1544228466.6547
MEM 66.757812 1544228466.7548
MEM 66.761719 1544228466.8549
MEM 66.785156 1544228466.9550
MEM 66.804688 1544228467.0551
MEM 66.804688 1544228467.1554
MEM 66.804688 1544228467.2557
MEM 66.804688 1544228467.3559
MEM 66.804688 1544228467.4561
MEM 66.804688 1544228467.5563
MEM 66.804688 1544228467.6564
MEM 66.804688 1544228467.7565
MEM 66.804688 1544228467.8566
MEM 67.144531 1544228467.9568
MEM 67.144531 1544228468.0571
MEM 67.167969 1544228468.1573
MEM 67.167969 1544228468.2575
MEM 67.167969 1544228468.3577
MEM 67.167969 1544228468.4580
MEM 67.417969 1544228468.5581
MEM 67.449219 1544228468.6582
MEM 67.457031 1544228468.7583
MEM 67.468750 1544228468.8585
MEM 67.472656 1544228468.9586
MEM 67.472656 1544228469.0587
MEM 67.500000 1544228469.1588
MEM 67.500000 1544228469.2589
MEM 67.777344 1544228469.3590
MEM 67.796875 1544228469.4593
MEM 67.808594 1544228469.5596
MEM 67.808594 1544228469.6597
MEM 68.062500 1544228469.7600
MEM 68.101562 1544228469.8602
MEM 68.167969 1544228469.9605
MEM 68.472656 1544228470.0607
MEM 68.734375 1544228470.1609
MEM 68.773438 1544228470.2610
MEM 69.027344 1544228470.3612
MEM 69.027344 1544228470.4614
MEM 69.027344 1544228470.5616
MEM 69.027344 1544228470.6619
MEM 69.027344 1544228470.7620
MEM 69.027344 1544228470.8622
MEM 69.027344 1544228470.9623
MEM 69.027344 1544228471.0624
MEM 69.027344 1544228471.1625
MEM 69.027344 1544228471.2626
MEM 69.027344 1544228471.3628
MEM 69.027344 1544228471.4630
MEM 69.027344 1544228471.5633
MEM 69.027344 1544228471.6637
MEM 69.027344 1544228471.7641
MEM 69.027344 1544228471.8643
MEM 69.285156 1544228471.9644
MEM 69.285156 1544228472.0646
MEM 69.285156 1544228472.1647
MEM 69.285156 1544228472.2648
MEM 69.285156 1544228472.3650
MEM 69.285156 1544228472.4652
MEM 69.285156 1544228472.5654
MEM 69.285156 1544228472.6655
MEM 69.285156 1544228472.7656
MEM 69.285156 1544228472.8658
MEM 69.285156 1544228472.9661
MEM 69.285156 1544228473.0662
MEM 69.285156 1544228473.1663
MEM 69.285156 1544228473.2664
MEM 69.285156 1544228473.3666
MEM 69.285156 1544228473.4667
MEM 69.285156 1544228473.5668
MEM 69.285156 1544228473.6669
MEM 69.285156 1544228473.7670
MEM 69.285156 1544228473.8672
MEM 69.285156 1544228473.9673
MEM 69.285156 1544228474.0676
MEM 69.285156 1544228474.1677
MEM 69.285156 1544228474.2678
MEM 69.285156 1544228474.3680
MEM 69.285156 1544228474.4682
MEM 69.285156 1544228474.5684
MEM 69.285156 1544228474.6686
MEM 69.285156 1544228474.7688
MEM 69.285156 1544228474.8689
MEM 69.285156 1544228474.9690
MEM 69.285156 1544228475.0692
MEM 69.285156 1544228475.1695
MEM 69.285156 1544228475.2697
MEM 69.285156 1544228475.3700
MEM 69.285156 1544228475.4702
MEM 69.285156 1544228475.5705
MEM 69.285156 1544228475.6707
MEM 69.285156 1544228475.7709
MEM 69.285156 1544228475.8711
MEM 69.285156 1544228475.9713
MEM 69.285156 1544228476.0714
MEM 69.285156 1544228476.1717
MEM 69.285156 1544228476.2719
MEM 69.285156 1544228476.3721
MEM 69.285156 1544228476.4722
MEM 69.285156 1544228476.5723
MEM 69.285156 1544228476.6725
MEM 69.542969 1544228476.7726
MEM 69.542969 1544228476.8727
MEM 69.542969 1544228476.9728
MEM 69.542969 1544228477.0729
MEM 69.542969 1544228477.1731
MEM 69.542969 1544228477.2732
MEM 69.542969 1544228477.3735
MEM 69.542969 1544228477.4737
MEM 69.542969 1544228477.5738
MEM 69.542969 1544228477.6739
